timestamp,zone,crowd_count,zone_capacity,density_ratio,avg_wait_time,entry_rate,exit_rate,temperature,hour,day_of_week,event_type,risk_level
2025-01-01 00:00:00,Gate A,85,1000,0.085,8.1,45,12,23.5,0,2,Maintenance Window,Low
2025-01-01 00:10:00,Food Court,249,1200,0.207,6.0,49,65,30.3,0,2,Maintenance Window,Low
2025-01-01 00:20:00,Emergency Exit,269,600,0.448,15.0,77,81,29.8,0,2,Special Event,Medium
2025-01-01 00:30:00,Food Court,716,1200,0.597,16.7,77,59,32.7,0,2,Peak Hour,Medium
2025-01-01 00:40:00,Emergency Exit,193,600,0.322,17.5,42,34,25.9,0,2,Normal Day,Low
2025-01-01 00:50:00,Service Corridor,128,500,0.256,7.1,33,46,33.7,0,2,Normal Day,Low
2025-01-01 01:00:00,Service Corridor,227,500,0.454,14.3,77,96,39.1,1,2,Weather Disruption,Medium
2025-01-01 01:10:00,Service Corridor,154,500,0.308,12.7,26,21,27.6,1,2,Normal Day,Low
2025-01-01 01:20:00,Gate A,453,1000,0.453,11.4,68,41,28.3,1,2,Normal Day,Low
2025-01-01 01:30:00,Emergency Exit,388,600,0.647,20.6,94,71,34.3,1,2,Special Event,High
2025-01-01 01:40:00,Prayer Area,232,800,0.29,7.6,75,81,41.5,1,2,Weather Disruption,Low
2025-01-01 01:50:00,Emergency Exit,173,600,0.288,9.4,46,36,28.2,1,2,Maintenance Window,Low
2025-01-01 02:00:00,Service Corridor,141,500,0.282,8.8,39,49,32.2,2,2,Maintenance Window,Low
2025-01-01 02:10:00,Gate B,429,1000,0.429,13.2,51,17,23.4,2,2,Peak Hour,Low
2025-01-01 02:20:00,Main Hall,1357,4000,0.339,10.3,89,87,41.7,2,2,Weather Disruption,Low
2025-01-01 02:30:00,Food Court,439,1200,0.366,11.0,87,42,32.2,2,2,Peak Hour,Medium
2025-01-01 02:40:00,Emergency Exit,68,600,0.113,6.7,32,37,30.1,2,2,Normal Day,Low
2025-01-01 02:50:00,Gate A,101,1000,0.101,6.8,35,61,34.2,2,2,Maintenance Window,Low
2025-01-01 03:00:00,Food Court,200,1200,0.167,5.8,28,22,23.1,3,2,Normal Day,Low
2025-01-01 03:10:00,Main Hall,532,4000,0.133,3.9,46,63,40.0,3,2,Normal Day,Low
2025-01-01 03:20:00,Parking Area,544,1500,0.363,5.6,74,63,35.9,3,2,Weather Disruption,Low
2025-01-01 03:30:00,Main Hall,1749,4000,0.437,14.1,51,34,21.6,3,2,Normal Day,Low
2025-01-01 03:40:00,Gate A,549,1000,0.549,21.4,83,88,27.5,3,2,Peak Hour,Medium
2025-01-01 03:50:00,Gate B,222,1000,0.222,15.3,32,48,25.5,3,2,Normal Day,Low
2025-01-01 04:00:00,Food Court,652,1200,0.543,15.8,71,68,27.7,4,2,Peak Hour,Low
2025-01-01 04:10:00,Prayer Area,436,800,0.545,20.7,80,81,39.4,4,2,Weather Disruption,High
2025-01-01 04:20:00,Gate A,213,1000,0.213,12.0,42,71,30.9,4,2,Maintenance Window,Low
2025-01-01 04:30:00,Prayer Area,608,800,0.76,25.9,87,67,37.3,4,2,Peak Hour,High
2025-01-01 04:40:00,Main Hall,2558,4000,0.639,16.9,85,69,31.7,4,2,Peak Hour,High
2025-01-01 04:50:00,Main Hall,1659,4000,0.415,7.0,51,38,23.9,4,2,Normal Day,Low
2025-01-01 05:00:00,Service Corridor,342,500,0.684,15.1,83,78,36.4,5,2,Weather Disruption,High
2025-01-01 05:10:00,Emergency Exit,268,600,0.447,13.4,35,32,31.2,5,2,Maintenance Window,Low
2025-01-01 05:20:00,Service Corridor,190,500,0.38,13.0,88,126,25.7,5,2,Normal Day,Low
2025-01-01 05:30:00,Parking Area,1028,1500,0.685,20.0,119,88,26.7,5,2,Special Event,High
2025-01-01 05:40:00,Main Hall,2516,4000,0.629,16.2,85,70,21.2,5,2,Special Event,Medium
2025-01-01 05:50:00,Emergency Exit,277,600,0.462,10.9,106,142,24.1,5,2,Peak Hour,Low
2025-01-01 06:00:00,Main Hall,2449,4000,0.612,14.5,56,72,32.2,6,2,Normal Day,Medium
2025-01-01 06:10:00,Emergency Exit,144,600,0.24,8.6,41,47,27.2,6,2,Normal Day,Low
2025-01-01 06:20:00,Emergency Exit,200,600,0.333,12.4,42,44,26.4,6,2,Maintenance Window,Low
2025-01-01 06:30:00,Parking Area,1114,1500,0.743,26.6,89,100,26.2,6,2,Normal Day,Medium
2025-01-01 06:40:00,Gate A,661,1000,0.661,20.0,56,75,40.3,6,2,Weather Disruption,High
2025-01-01 06:50:00,Main Hall,2646,4000,0.661,18.7,78,80,36.7,6,2,Weather Disruption,High
2025-01-01 07:00:00,Prayer Area,301,800,0.376,11.6,73,81,36.1,7,2,Weather Disruption,Low
2025-01-01 07:10:00,Gate B,1106,1000,1.106,23.7,130,104,29.7,7,2,Special Event,High
2025-01-01 07:20:00,Gate B,889,1000,0.889,25.3,121,124,32.2,7,2,Peak Hour,High
2025-01-01 07:30:00,Parking Area,662,1500,0.441,12.8,46,35,34.9,7,2,Maintenance Window,Low
2025-01-01 07:40:00,Emergency Exit,191,600,0.318,14.5,51,86,33.7,7,2,Maintenance Window,Low
2025-01-01 07:50:00,Food Court,359,1200,0.299,9.0,70,84,26.5,7,2,Normal Day,Low
2025-01-01 08:00:00,Gate A,641,1000,0.641,16.1,90,97,33.0,8,2,Peak Hour,Low
2025-01-01 08:10:00,Food Court,1169,1200,0.974,26.7,136,78,27.0,8,2,Special Event,High
2025-01-01 08:20:00,Service Corridor,324,500,0.648,19.4,74,67,34.1,8,2,Normal Day,High
2025-01-01 08:30:00,Food Court,915,1200,0.762,21.6,73,73,37.2,8,2,Weather Disruption,High
2025-01-01 08:40:00,Gate A,607,1000,0.607,17.0,102,93,33.9,8,2,Weather Disruption,High
2025-01-01 08:50:00,Emergency Exit,580,600,0.967,29.3,125,121,32.8,8,2,Special Event,High
2025-01-01 09:00:00,Prayer Area,119,800,0.149,12.1,27,30,36.5,9,2,Maintenance Window,Low
2025-01-01 09:10:00,Parking Area,962,1500,0.641,15.7,92,87,31.4,9,2,Peak Hour,Medium
2025-01-01 09:20:00,Parking Area,1177,1500,0.785,19.9,94,111,38.7,9,2,Weather Disruption,High
2025-01-01 09:30:00,Food Court,1010,1200,0.842,20.4,86,93,42.1,9,2,Weather Disruption,High
2025-01-01 09:40:00,Main Hall,1429,4000,0.357,11.5,54,20,23.5,9,2,Maintenance Window,Low
2025-01-01 09:50:00,Main Hall,2788,4000,0.697,21.6,79,86,43.4,9,2,Weather Disruption,High
2025-01-01 10:00:00,Parking Area,644,1500,0.429,17.5,54,41,27.0,10,2,Normal Day,Low
2025-01-01 10:10:00,Gate A,478,1000,0.478,16.9,80,59,32.0,10,2,Normal Day,Low
2025-01-01 10:20:00,Gate A,506,1000,0.506,9.6,70,62,27.3,10,2,Normal Day,Low
2025-01-01 10:30:00,Emergency Exit,671,600,1.118,28.0,123,111,36.6,10,2,Special Event,High
2025-01-01 10:40:00,Parking Area,1792,1500,1.195,29.3,138,124,29.3,10,2,Special Event,High
2025-01-01 10:50:00,Prayer Area,1000,800,1.25,31.7,126,126,25.8,10,2,Special Event,High
2025-01-01 11:00:00,Parking Area,681,1500,0.454,11.5,22,0,24.4,11,2,Maintenance Window,Low
2025-01-01 11:10:00,Main Hall,5000,4000,1.25,34.8,109,98,28.0,11,2,Special Event,High
2025-01-01 11:20:00,Emergency Exit,294,600,0.49,13.8,63,45,30.0,11,2,Maintenance Window,High
2025-01-01 11:30:00,Prayer Area,1000,800,1.25,31.8,132,111,29.1,11,2,Special Event,High
2025-01-01 11:40:00,Gate B,790,1000,0.79,23.4,107,97,28.6,11,2,Peak Hour,High
2025-01-01 11:50:00,Parking Area,971,1500,0.647,12.7,56,22,22.5,11,2,Normal Day,High
2025-01-01 12:00:00,Food Court,544,1200,0.453,9.5,9,0,42.1,12,2,Normal Day,Low
2025-01-01 12:10:00,Parking Area,1433,1500,0.955,20.3,93,80,29.6,12,2,Peak Hour,High
2025-01-01 12:20:00,Service Corridor,592,500,1.184,28.0,134,143,25.1,12,2,Special Event,High
2025-01-01 12:30:00,Service Corridor,408,500,0.816,26.2,82,112,38.7,12,2,Weather Disruption,High
2025-01-01 12:40:00,Parking Area,1590,1500,1.06,24.5,109,100,22.2,12,2,Special Event,High
2025-01-01 12:50:00,Gate B,1241,1000,1.241,24.1,111,63,25.9,12,2,Special Event,High
2025-01-01 13:00:00,Emergency Exit,231,600,0.385,12.0,46,30,33.5,13,2,Maintenance Window,Low
2025-01-01 13:10:00,Prayer Area,719,800,0.899,24.7,122,126,36.5,13,2,Weather Disruption,High
2025-01-01 13:20:00,Gate A,683,1000,0.683,16.4,82,92,38.3,13,2,Weather Disruption,High
2025-01-01 13:30:00,Gate A,981,1000,0.981,25.1,89,85,30.9,13,2,Peak Hour,High
2025-01-01 13:40:00,Emergency Exit,340,600,0.567,13.8,61,37,36.7,13,2,Normal Day,Medium
2025-01-01 13:50:00,Prayer Area,368,800,0.46,6.9,29,25,24.6,13,2,Maintenance Window,Low
2025-01-01 14:00:00,Emergency Exit,158,600,0.263,7.3,42,73,23.9,14,2,Maintenance Window,Low
2025-01-01 14:10:00,Service Corridor,103,500,0.206,4.7,29,21,34.1,14,2,Maintenance Window,Low
2025-01-01 14:20:00,Main Hall,3494,4000,0.874,21.5,110,104,34.8,14,2,Weather Disruption,High
2025-01-01 14:30:00,Parking Area,1298,1500,0.865,18.0,98,84,39.2,14,2,Weather Disruption,High
2025-01-01 14:40:00,Food Court,370,1200,0.308,6.9,51,57,26.9,14,2,Maintenance Window,Low
2025-01-01 14:50:00,Gate B,815,1000,0.815,22.7,79,91,35.3,14,2,Weather Disruption,High
2025-01-01 15:00:00,Emergency Exit,158,600,0.263,2.5,62,110,28.0,15,2,Maintenance Window,Low
2025-01-01 15:10:00,Parking Area,1199,1500,0.799,21.0,75,74,32.6,15,2,Peak Hour,High
2025-01-01 15:20:00,Parking Area,1537,1500,1.025,27.1,91,92,41.1,15,2,Weather Disruption,High
2025-01-01 15:30:00,Gate A,787,1000,0.787,26.9,88,104,24.5,15,2,Peak Hour,High
2025-01-01 15:40:00,Emergency Exit,237,600,0.395,13.2,69,66,21.5,15,2,Normal Day,Low
2025-01-01 15:50:00,Emergency Exit,589,600,0.982,25.4,87,44,32.4,15,2,Special Event,High
2025-01-01 16:00:00,Prayer Area,369,800,0.461,15.0,35,13,34.2,16,2,Maintenance Window,Medium
2025-01-01 16:10:00,Main Hall,3124,4000,0.781,22.4,93,94,42.1,16,2,Weather Disruption,High
2025-01-01 16:20:00,Prayer Area,537,800,0.671,17.5,75,92,45.5,16,2,Weather Disruption,High
