city,regime,crews,policy,config,total_unmet_weighted,total_unmet_raw,final_backlog,unmet_by_family
austin,scarce,11,uniform,uniform,31317861.0,17113888.0,114472.0,"[0.0, 12733.0, 2913669.0, 694.0, 51531.0, 9969124.0, 18370098.0, 12.0]"
austin,scarce,11,oracle,oracle,11412536.0,10979669.0,70556.0,"[12524.0, 2666931.0, 6736269.0, 1149551.0, 8145.0, 12314.0, 817100.0, 9702.0]"
austin,scarce,11,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,11559283.0,11079062.0,71893.0,"[15612.0, 2720431.0, 6736269.0, 1149551.0, 11643.0, 30806.0, 884384.0, 10587.0]"
austin,scarce,11,proportional,local/internal/naive_trailing7,18403991.0,10653056.0,67004.0,"[774296.0, 978831.0, 2322419.0, 389159.0, 1200678.0, 4648324.0, 6926098.0, 1164186.0]"
austin,scarce,11,greedy_ev_point,local/internal/naive_trailing7,13536902.0,12144174.0,77499.0,"[13588.0, 2873731.0, 6736269.0, 1149551.0, 12570.0, 28050.0, 2711398.0, 11745.0]"
austin,scarce,11,proportional,local/internal/seasonal_naive7,18413570.0,10655535.0,67013.0,"[775696.0, 977285.0, 2322619.0, 388559.0, 1206678.0, 4649424.0, 6927098.0, 1166211.0]"
austin,scarce,11,greedy_ev_point,local/internal/seasonal_naive7,12191985.0,11450602.0,74428.0,"[13642.0, 2831531.0, 6736269.0, 1149551.0, 13749.0, 19506.0, 1417090.0, 10647.0]"
austin,scarce,11,proportional,local/internal/ridge,18409045.0,10651960.0,67000.0,"[775696.0, 977785.0, 2321719.0, 389509.0, 1212978.0, 4635924.0, 6925998.0, 1169436.0]"
austin,scarce,11,greedy_ev_point,local/internal/ridge,12680591.0,11704367.0,75038.0,"[14510.0, 2851631.0, 6736269.0, 1149551.0, 16689.0, 19024.0, 1881682.0, 11235.0]"
austin,scarce,11,proportional,local/internal/random_forest,18403345.0,10651410.0,66998.0,"[771496.0, 977285.0, 2320369.0, 388259.0, 1198878.0, 4643524.0, 6943098.0, 1160436.0]"
austin,scarce,11,greedy_ev_point,local/internal/random_forest,11839735.0,11248855.0,73250.0,"[12470.0, 2779431.0, 6736269.0, 1149551.0, 11349.0, 17110.0, 1123076.0, 10479.0]"
austin,scarce,11,proportional,local/internal/lgbm_point,18405445.0,10651410.0,66998.0,"[772496.0, 977285.0, 2319869.0, 387909.0, 1199178.0, 4642024.0, 6942798.0, 1163886.0]"
austin,scarce,11,greedy_ev_point,local/internal/lgbm_point,11782526.0,11209255.0,72770.0,"[13238.0, 2758181.0, 6736269.0, 1149551.0, 13458.0, 16666.0, 1084570.0, 10593.0]"
austin,scarce,11,proportional,local/calendar/random_forest,18402295.0,10651410.0,66998.0,"[771596.0, 977285.0, 2321069.0, 388109.0, 1195728.0, 4644424.0, 6941998.0, 1162086.0]"
austin,scarce,11,greedy_ev_point,local/calendar/random_forest,11869595.0,11263854.0,73195.0,"[12886.0, 2778581.0, 6736269.0, 1149551.0, 8487.0, 16324.0, 1157120.0, 10377.0]"
austin,scarce,11,proportional,local/calendar/lgbm_point,18403345.0,10651410.0,66998.0,"[774296.0, 977285.0, 2322219.0, 389709.0, 1203528.0, 4646224.0, 6924398.0, 1165686.0]"
austin,scarce,11,greedy_ev_point,local/calendar/lgbm_point,11651319.0,11131077.0,72163.0,"[12728.0, 2732481.0, 6736269.0, 1149551.0, 11037.0, 17306.0, 980586.0, 11361.0]"
austin,scarce,11,proportional,local/calendar_weather/ridge,18415999.0,10656928.0,67018.0,"[773896.0, 977785.0, 2321719.0, 388009.0, 1205082.0, 4641224.0, 6944398.0, 1163886.0]"
austin,scarce,11,greedy_ev_point,local/calendar_weather/ridge,12782354.0,11759763.0,75276.0,"[14710.0, 2861181.0, 6736269.0, 1149551.0, 17628.0, 19060.0, 1972096.0, 11859.0]"
austin,scarce,11,proportional,local/calendar_weather/random_forest,18402645.0,10651410.0,66998.0,"[770796.0, 977285.0, 2320819.0, 388159.0, 1196328.0, 4644124.0, 6943198.0, 1161936.0]"
austin,scarce,11,greedy_ev_point,local/calendar_weather/random_forest,11953349.0,11309672.0,73258.0,"[13548.0, 2786531.0, 6736269.0, 1149551.0, 8835.0, 16262.0, 1232120.0, 10233.0]"
austin,scarce,11,proportional,local/calendar_weather/lgbm_point,18405845.0,10651410.0,66998.0,"[776496.0, 977285.0, 2322219.0, 389409.0, 1207128.0, 4646924.0, 6917698.0, 1168686.0]"
austin,scarce,11,greedy_ev_point,local/calendar_weather/lgbm_point,11664497.0,11139501.0,72106.0,"[12692.0, 2736281.0, 6736269.0, 1149551.0, 11574.0, 17398.0, 989518.0, 11214.0]"
austin,scarce,11,proportional,global/calendar_weather/lgbm_point,18404695.0,10651410.0,66998.0,"[771996.0, 977285.0, 2319969.0, 388109.0, 1199628.0, 4644124.0, 6941498.0, 1162086.0]"
austin,scarce,11,greedy_ev_point,global/calendar_weather/lgbm_point,11667767.0,11137465.0,72056.0,"[12704.0, 2729281.0, 6736269.0, 1149551.0, 12987.0, 17252.0, 998896.0, 10827.0]"
austin,moderate,14,uniform,uniform,27454693.0,15188614.0,100672.0,"[0.0, 12733.0, 2913669.0, 17.0, 11640.0, 6146524.0, 18370098.0, 12.0]"
austin,moderate,14,oracle,oracle,6432850.0,6416955.0,37730.0,"[6552.0, 41331.0, 5212269.0, 1149551.0, 2073.0, 5104.0, 11770.0, 4200.0]"
austin,moderate,14,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,6987212.0,6963129.0,41768.0,"[7352.0, 62324.0, 5729919.0, 1149551.0, 3210.0, 11650.0, 18172.0, 5034.0]"
austin,moderate,14,proportional,local/internal/naive_trailing7,8569370.0,4928249.0,25637.0,"[348296.0, 527531.0, 950419.0, 174659.0, 573882.0, 2172424.0, 3299598.0, 522561.0]"
austin,moderate,14,greedy_ev_point,local/internal/naive_trailing7,8973520.0,8938373.0,54894.0,"[6870.0, 1034335.0, 6722469.0, 1149551.0, 4641.0, 20712.0, 30196.0, 4746.0]"
austin,moderate,14,proportional,local/internal/seasonal_naive7,8556570.0,4921635.0,25613.0,"[347296.0, 526985.0, 949119.0, 173709.0, 565878.0, 2173224.0, 3296898.0, 523461.0]"
austin,moderate,14,greedy_ev_point,local/internal/seasonal_naive7,7383070.0,7349901.0,45815.0,"[8042.0, 59663.0, 6111819.0, 1149551.0, 6708.0, 11392.0, 29700.0, 6195.0]"
austin,moderate,14,proportional,local/internal/ridge,8570724.0,4927153.0,25633.0,"[350396.0, 525635.0, 949569.0, 174759.0, 573132.0, 2172124.0, 3299098.0, 526011.0]"
austin,moderate,14,greedy_ev_point,local/internal/ridge,7237756.0,7189979.0,44530.0,"[9006.0, 67657.0, 5930769.0, 1149551.0, 9417.0, 13356.0, 50092.0, 7908.0]"
austin,moderate,14,proportional,local/internal/random_forest,8558420.0,4922185.0,25615.0,"[346596.0, 525235.0, 949719.0, 173859.0, 567378.0, 2175324.0, 3299098.0, 521211.0]"
austin,moderate,14,greedy_ev_point,local/internal/random_forest,7281066.0,7257669.0,44497.0,"[7240.0, 75271.0, 6012319.0, 1149551.0, 3639.0, 9452.0, 18626.0, 4968.0]"
austin,moderate,14,proportional,local/internal/lgbm_point,8572670.0,4929349.0,25641.0,"[345796.0, 525931.0, 949669.0, 173009.0, 569532.0, 2191424.0, 3299098.0, 518211.0]"
austin,moderate,14,greedy_ev_point,local/internal/lgbm_point,7153697.0,7128083.0,43574.0,"[7884.0, 61511.0, 5894769.0, 1149551.0, 4833.0, 10012.0, 19884.0, 5253.0]"
austin,moderate,14,proportional,local/calendar/random_forest,8558720.0,4922185.0,25615.0,"[347996.0, 524835.0, 950119.0, 174159.0, 568278.0, 2191324.0, 3279898.0, 522111.0]"
austin,moderate,14,greedy_ev_point,local/calendar/random_forest,7201874.0,7179115.0,43809.0,"[7312.0, 68017.0, 5941269.0, 1149551.0, 2562.0, 9092.0, 19190.0, 4881.0]"
austin,moderate,14,proportional,local/calendar/lgbm_point,8573722.0,4930701.0,25646.0,"[345496.0, 527085.0, 949669.0, 173857.0, 569382.0, 2191924.0, 3296898.0, 519411.0]"
austin,moderate,14,greedy_ev_point,local/calendar/lgbm_point,6911817.0,6887050.0,41320.0,"[7636.0, 46817.0, 5669119.0, 1149551.0, 3921.0, 9410.0, 19672.0, 5691.0]"
austin,moderate,14,proportional,local/calendar_weather/ridge,8582163.0,4933780.0,25657.0,"[352696.0, 525431.0, 951219.0, 175959.0, 574332.0, 2170824.0, 3304398.0, 527304.0]"
austin,moderate,14,greedy_ev_point,local/calendar_weather/ridge,7184243.0,7137109.0,43615.0,"[8978.0, 61012.0, 5885569.0, 1149551.0, 10512.0, 12822.0, 47840.0, 7959.0]"
austin,moderate,14,proportional,local/calendar_weather/random_forest,8558620.0,4922185.0,25615.0,"[347896.0, 525285.0, 950169.0, 173909.0, 568878.0, 2191324.0, 3279198.0, 521961.0]"
austin,moderate,14,greedy_ev_point,local/calendar_weather/random_forest,7207529.0,7184986.0,43859.0,"[7414.0, 67171.0, 5948219.0, 1149551.0, 2562.0, 8992.0, 18688.0, 4932.0]"
austin,moderate,14,proportional,local/calendar_weather/lgbm_point,8559170.0,4922185.0,25615.0,"[347496.0, 525485.0, 949419.0, 174209.0, 569778.0, 2191724.0, 3279098.0, 521961.0]"
austin,moderate,14,greedy_ev_point,local/calendar_weather/lgbm_point,6823676.0,6797964.0,40669.0,"[7600.0, 48002.0, 5577919.0, 1149551.0, 3939.0, 10556.0, 20388.0, 5721.0]"
austin,moderate,14,proportional,global/calendar_weather/lgbm_point,8558420.0,4922185.0,25615.0,"[347196.0, 526185.0, 949369.0, 174159.0, 568578.0, 2174124.0, 3296098.0, 522711.0]"
austin,moderate,14,greedy_ev_point,global/calendar_weather/lgbm_point,6945454.0,6918540.0,41456.0,"[7584.0, 54499.0, 5690919.0, 1149551.0, 4593.0, 9966.0, 22906.0, 5436.0]"
austin,generous,17,uniform,uniform,23632081.0,13277310.0,86872.0,"[0.0, 12733.0, 2913669.0, 17.0, 11640.0, 6146524.0, 14547498.0, 0.0]"
austin,generous,17,oracle,oracle,1316118.0,1308088.0,385.0,"[4400.0, 8674.0, 464014.0, 828358.0, 489.0, 2868.0, 4840.0, 2475.0]"
austin,generous,17,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,1924928.0,1908476.0,3778.0,"[5432.0, 15912.0, 825985.0, 1052101.0, 2733.0, 8168.0, 11408.0, 3189.0]"
austin,generous,17,proportional,local/internal/naive_trailing7,327110.0,187901.0,442.0,"[12810.0, 17510.0, 38009.0, 6941.0, 22152.0, 81254.0, 129282.0, 19152.0]"
austin,generous,17,greedy_ev_point,local/internal/naive_trailing7,4138389.0,4111266.0,18860.0,"[5478.0, 12992.0, 2923419.0, 1149551.0, 3477.0, 19174.0, 22318.0, 1980.0]"
austin,generous,17,proportional,local/internal/seasonal_naive7,318338.0,181792.0,338.0,"[12594.0, 15861.0, 37027.0, 6857.0, 25842.0, 77842.0, 124660.0, 17655.0]"
austin,generous,17,greedy_ev_point,local/internal/seasonal_naive7,2569597.0,2548566.0,9792.0,"[5296.0, 11541.0, 1369019.0, 1149551.0, 4413.0, 9176.0, 17286.0, 3315.0]"
austin,generous,17,proportional,local/internal/ridge,328711.0,186553.0,384.0,"[13744.0, 16164.0, 37208.0, 6958.0, 27012.0, 78012.0, 128820.0, 20793.0]"
austin,generous,17,greedy_ev_point,local/internal/ridge,2540978.0,2512761.0,9555.0,"[6640.0, 15686.0, 1323219.0, 1149551.0, 6030.0, 11622.0, 22524.0, 5706.0]"
austin,generous,17,proportional,local/internal/random_forest,303761.0,173716.0,336.0,"[11494.0, 14895.0, 35774.0, 6567.0, 22221.0, 75440.0, 118896.0, 18474.0]"
austin,generous,17,greedy_ev_point,local/internal/random_forest,2320778.0,2305153.0,7273.0,"[5304.0, 10150.0, 1132369.0, 1148551.0, 2136.0, 7720.0, 12058.0, 2490.0]"
austin,generous,17,proportional,local/internal/lgbm_point,301042.0,171172.0,334.0,"[12898.0, 14613.0, 33889.0, 6838.0, 23355.0, 72378.0, 118312.0, 18759.0]"
austin,generous,17,greedy_ev_point,local/internal/lgbm_point,2221405.0,2204134.0,6464.0,"[5680.0, 11127.0, 1040062.0, 1137751.0, 3471.0, 7720.0, 12834.0, 2760.0]"
