city,sensitivity,policy,config,total_unmet_weighted
austin,equal_weights,uniform,uniform,15188614.0
austin,equal_weights,proportional,lgbm_point,4922185.0
austin,equal_weights,greedy_ev_point,lgbm_point,5167021.0
austin,equal_weights,greedy_ev_quantile,lgbm_quantile,4945549.0
austin,equal_weights,oracle,oracle,4914198.0
austin,abandonment_10,uniform,uniform,1776864.6788
austin,abandonment_10,proportional,lgbm_point,509887.3594
austin,abandonment_10,greedy_ev_point,lgbm_point,433065.5822
austin,abandonment_10,greedy_ev_quantile,lgbm_quantile,437378.9396
austin,abandonment_10,oracle,oracle,399301.5712
chicago,equal_weights,uniform,uniform,39512277.0
chicago,equal_weights,proportional,lgbm_point,16143351.0
chicago,equal_weights,greedy_ev_point,lgbm_point,17789872.0
chicago,equal_weights,greedy_ev_quantile,lgbm_quantile,16287032.0
chicago,equal_weights,oracle,oracle,16138383.0
chicago,abandonment_10,uniform,uniform,5031054.985
chicago,abandonment_10,proportional,lgbm_point,1694910.6231
chicago,abandonment_10,greedy_ev_point,lgbm_point,1358973.8242
chicago,abandonment_10,greedy_ev_quantile,lgbm_quantile,1288962.1973
chicago,abandonment_10,oracle,oracle,1187065.9033
nyc,equal_weights,uniform,uniform,139459532.0
nyc,equal_weights,proportional,lgbm_point,31478537.0
nyc,equal_weights,greedy_ev_point,lgbm_point,42530833.0
nyc,equal_weights,greedy_ev_quantile,lgbm_quantile,32673891.0
nyc,equal_weights,oracle,oracle,31363151.0
nyc,abandonment_10,uniform,uniform,18414836.1544
nyc,abandonment_10,proportional,lgbm_point,4709822.5593
nyc,abandonment_10,greedy_ev_point,lgbm_point,3617537.3739
nyc,abandonment_10,greedy_ev_quantile,lgbm_quantile,3625479.0053
nyc,abandonment_10,oracle,oracle,2831632.9004
sf,equal_weights,uniform,uniform,49559423.0
sf,equal_weights,proportional,lgbm_point,5874722.0
sf,equal_weights,greedy_ev_point,lgbm_point,6233087.0
sf,equal_weights,greedy_ev_quantile,lgbm_quantile,5837480.0
sf,equal_weights,oracle,oracle,5820292.0
sf,abandonment_10,uniform,uniform,7293487.8222
sf,abandonment_10,proportional,lgbm_point,1143180.8074
sf,abandonment_10,greedy_ev_point,lgbm_point,899269.1317
sf,abandonment_10,greedy_ev_quantile,lgbm_quantile,869219.6255
sf,abandonment_10,oracle,oracle,811147.7482
