city,regime,b0_condition,policy,total_loss,rank
austin,scarce,zero,uniform,19977642.0,5
austin,scarce,zero,proportional,16383102.0,2
austin,scarce,zero,point_greedy_fixed,16572872.0,4
austin,scarce,zero,point_greedy_proportional,16381998.0,1
austin,scarce,zero,quantile_full,16410288.0,3
austin,scarce,warmup,uniform,58003276.0,5
austin,scarce,warmup,proportional,46446402.0,1
austin,scarce,warmup,point_greedy_fixed,47115221.0,4
austin,scarce,warmup,point_greedy_proportional,46452474.0,2
austin,scarce,warmup,quantile_full,46523467.0,3
austin,scarce,train_avg,uniform,20118835.6,5
austin,scarce,train_avg,proportional,16545599.9,1
austin,scarce,train_avg,point_greedy_fixed,16733163.4,4
austin,scarce,train_avg,point_greedy_proportional,16545599.9,2
austin,scarce,train_avg,quantile_full,16579465.6,3
austin,moderate,zero,uniform,17113888.0,5
austin,moderate,zero,proportional,10651410.0,2
austin,moderate,zero,point_greedy_fixed,10869184.0,4
austin,moderate,zero,point_greedy_proportional,10648098.0,1
austin,moderate,zero,quantile_full,10679297.0,3
austin,moderate,warmup,uniform,49493656.0,5
austin,moderate,warmup,proportional,29364486.0,2
austin,moderate,warmup,point_greedy_fixed,30189570.0,4
austin,moderate,warmup,point_greedy_proportional,29355378.0,1
austin,moderate,warmup,quantile_full,29446441.0,3
austin,moderate,train_avg,uniform,17255075.5,5
austin,moderate,train_avg,proportional,10811699.9,1
austin,moderate,train_avg,point_greedy_fixed,11038400.6,4
austin,moderate,train_avg,point_greedy_proportional,10811699.9,2
austin,moderate,train_avg,quantile_full,10847504.6,3
austin,generous,zero,uniform,17099914.0,5
austin,generous,zero,proportional,6838453.0,2
austin,generous,zero,point_greedy_fixed,7085533.0,4
austin,generous,zero,point_greedy_proportional,6825498.0,1
austin,generous,zero,quantile_full,6856849.0,3
austin,generous,warmup,uniform,49479682.0,5
austin,generous,warmup,proportional,17975622.0,2
austin,generous,warmup,point_greedy_fixed,18907471.0,4
austin,generous,warmup,point_greedy_proportional,17965686.0,1
austin,generous,warmup,quantile_full,18072296.0,3
austin,generous,train_avg,uniform,17241043.2,5
austin,generous,train_avg,proportional,6989099.9,1
austin,generous,train_avg,point_greedy_fixed,7258524.7,4
austin,generous,train_avg,point_greedy_proportional,6989099.9,2
austin,generous,train_avg,quantile_full,7027946.6,3
chicago,scarce,zero,uniform,47723755.0,5
chicago,scarce,zero,proportional,37162683.0,1
chicago,scarce,zero,point_greedy_fixed,38101878.0,4
chicago,scarce,zero,point_greedy_proportional,37162683.0,2
chicago,scarce,zero,quantile_full,37208413.0,3
chicago,scarce,warmup,uniform,123292863.0,5
chicago,scarce,warmup,proportional,84571203.0,1
chicago,scarce,warmup,point_greedy_fixed,86986143.0,4
chicago,scarce,warmup,point_greedy_proportional,84571203.0,2
chicago,scarce,warmup,quantile_full,84814741.0,3
chicago,scarce,train_avg,uniform,48176878.4,5
chicago,scarce,train_avg,proportional,37739023.4,1
chicago,scarce,train_avg,point_greedy_fixed,38682428.7,4
chicago,scarce,train_avg,point_greedy_proportional,37739023.4,2
chicago,scarce,train_avg,quantile_full,37789612.5,3
chicago,moderate,zero,uniform,41456191.0,5
chicago,moderate,zero,proportional,19965951.0,2
