city,regime,units,full_uncal_loss,full_conformal_loss,proportional_loss,conformal_vs_uncal_pct,conformal_vs_prop_pct
austin,scarce,8,16410288.0,16398015.0,16383102.0,-0.075,0.091
austin,moderate,11,10679297.0,10667024.0,10651410.0,-0.115,0.147
austin,generous,13,6856849.0,6844424.0,6838453.0,-0.181,0.087
chicago,scarce,29,37208413.0,37183378.0,37162683.0,-0.067,0.056
chicago,moderate,38,20087932.0,20040119.0,19965951.0,-0.238,0.371
chicago,generous,46,5561653.0,5546422.0,5451400.0,-0.274,1.743
nyc,scarce,119,146938634.0,146813066.0,146024681.0,-0.085,0.54
nyc,moderate,153,82149267.0,81984117.0,81040481.0,-0.201,1.164
nyc,generous,187,18748666.0,18583257.0,17595851.0,-0.882,5.612
sf,scarce,26,29644860.0,29642224.0,29492173.0,-0.009,0.509
sf,moderate,33,16362360.0,16359724.0,16204987.0,-0.016,0.955
sf,generous,41,3693238.0,3690775.0,3733466.0,-0.067,-1.143
