city,regime,units,policy,config,total_loss,final_carryover,served_fraction_other,loss_share_other,served_fraction_by_family,pct_reduction_vs_uniform
austin,scarce,8,uniform,uniform,19977642.0,136216.0,0.2944,0.2415,"{""housing_building"": 1.0, ""noise"": 0.6345, ""other"": 0.2944, ""parks_trees"": 1.0, ""public_safety"": 1.0, ""sanitation"": 0.2913, ""streets_transport"": 0.183, ""water_sewer"": 1.0}",0.0
austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,16381998.0,108386.0,0.9994,0.0004,"{""housing_building"": 0.9969, ""noise"": 0.9984, ""other"": 0.9994, ""parks_trees"": 0.9931, ""public_safety"": 0.9984, ""sanitation"": 0.4254, ""streets_transport"": 0.0, ""water_sewer"": 0.0}",17.998
austin,scarce,8,proportional,local/internal/naive_trailing7,16383102.0,108390.0,0.5515,0.1895,"{""housing_building"": 0.0, ""noise"": 0.5773, ""other"": 0.5515, ""parks_trees"": 0.0986, ""public_safety"": 0.3213, ""sanitation"": 0.5679, ""streets_transport"": 0.5456, ""water_sewer"": 0.0}",17.993
austin,scarce,8,greedy_ev_point,local/internal/naive_trailing7,17072599.0,113419.0,0.9989,0.0006,"{""housing_building"": 0.9895, ""noise"": 0.9998, ""other"": 0.9989, ""parks_trees"": 0.9959, ""public_safety"": 0.9961, ""sanitation"": 0.3198, ""streets_transport"": 0.0, ""water_sewer"": 0.0}",14.541
austin,scarce,8,proportional,local/internal/seasonal_naive7,16383102.0,108390.0,0.5504,0.1895,"{""housing_building"": 0.0, ""noise"": 0.575, ""other"": 0.5504, ""parks_trees"": 0.0986, ""public_safety"": 0.3213, ""sanitation"": 0.5689, ""streets_transport"": 0.5462, ""water_sewer"": 0.0}",17.993
austin,scarce,8,greedy_ev_point,local/internal/seasonal_naive7,16810997.0,112054.0,0.9998,0.0005,"{""housing_building"": 0.9965, ""noise"": 0.9992, ""other"": 0.9998, ""parks_trees"": 0.9948, ""public_safety"": 0.9922, ""sanitation"": 0.3483, ""streets_transport"": 0.0, ""water_sewer"": 0.0}",15.851
austin,scarce,8,proportional,local/internal/ridge,16383102.0,108390.0,0.5504,0.1894,"{""housing_building"": 0.0, ""noise"": 0.5773, ""other"": 0.5504, ""parks_trees"": 0.0986, ""public_safety"": 0.3213, ""sanitation"": 0.5689, ""streets_transport"": 0.5456, ""water_sewer"": 0.0}",17.993
austin,scarce,8,greedy_ev_point,local/internal/ridge,16809451.0,112073.0,0.9998,0.0006,"{""housing_building"": 0.9965, ""noise"": 0.9984, ""other"": 0.9998, ""parks_trees"": 0.998, ""public_safety"": 0.9948, ""sanitation"": 0.3473, ""streets_transport"": 0.0, ""water_sewer"": 0.0}",15.859
austin,scarce,8,proportional,local/internal/random_forest,16383102.0,108390.0,0.5504,0.1896,"{""housing_building"": 0.0, ""noise"": 0.5773, ""other"": 0.5504, ""parks_trees"": 0.0986, ""public_safety"": 0.3213, ""sanitation"": 0.5689, ""streets_transport"": 0.5456, ""water_sewer"": 0.0}",17.993
austin,scarce,8,greedy_ev_point,local/internal/random_forest,16626244.0,110481.0,0.9998,0.0005,"{""housing_building"": 0.9954, ""noise"": 0.9976, ""other"": 0.9998, ""parks_trees"": 0.9948, ""public_safety"": 0.9987, ""sanitation"": 0.3811, ""streets_transport"": 0.0, ""water_sewer"": 0.0}",16.776
austin,scarce,8,proportional,local/internal/lgbm_point,16383102.0,108390.0,0.5504,0.1896,"{""housing_building"": 0.0, ""noise"": 0.5773, ""other"": 0.5504, ""parks_trees"": 0.0986, ""public_safety"": 0.3213, ""sanitation"": 0.5689, ""streets_transport"": 0.5456, ""water_sewer"": 0.0}",17.993
austin,scarce,8,greedy_ev_point,local/internal/lgbm_point,16637661.0,110496.0,0.9998,0.0005,"{""housing_building"": 0.9936, ""noise"": 0.9992, ""other"": 0.9998, ""parks_trees"": 0.9959, ""public_safety"": 0.9987, ""sanitation"": 0.3789, ""streets_transport"": 0.0007, ""water_sewer"": 0.0}",16.719
