city,feature_set,model,fold,mae,n_rows
austin,internal,naive_trailing7,0,17.172115384615385,2080
austin,internal,seasonal_naive7,0,17.61394230769231,2080
austin,internal,ridge,0,13.761456948171194,2080
austin,internal,random_forest,0,14.546040448015031,2080
austin,internal,lgbm_point,0,14.867888719358714,2080
austin,internal,naive_trailing7,1,14.210576923076923,2080
austin,internal,seasonal_naive7,1,13.230288461538462,2080
austin,internal,ridge,1,11.088068622039629,2080
austin,internal,random_forest,1,10.430938369963458,2080
austin,internal,lgbm_point,1,10.51489624194106,2080
austin,internal,naive_trailing7,2,21.612225274725276,2080
austin,internal,seasonal_naive7,2,14.939903846153847,2080
austin,internal,ridge,2,13.364495924688162,2080
austin,internal,random_forest,2,13.777531406627709,2080
austin,internal,lgbm_point,2,13.726356683260915,2080
austin,internal,naive_trailing7,3,43.53166208791208,2080
austin,internal,seasonal_naive7,3,42.76586538461538,2080
austin,internal,ridge,3,32.41952145994584,2080
austin,internal,random_forest,3,37.564187858408296,2080
austin,internal,lgbm_point,3,37.97171614347329,2080
austin,internal,naive_trailing7,4,30.232074175824177,2080
austin,internal,seasonal_naive7,4,20.733653846153846,2080
austin,internal,ridge,4,24.7369712921256,2080
austin,internal,random_forest,4,16.700333541141656,2080
austin,internal,lgbm_point,4,16.70614905734489,2080
austin,calendar,naive_trailing7,0,17.172115384615385,2080
austin,calendar,seasonal_naive7,0,17.61394230769231,2080
austin,calendar,ridge,0,13.753015430827483,2080
austin,calendar,random_forest,0,15.137546599449122,2080
austin,calendar,lgbm_point,0,14.431098768009651,2080
austin,calendar,naive_trailing7,1,14.210576923076923,2080
austin,calendar,seasonal_naive7,1,13.230288461538462,2080
austin,calendar,ridge,1,11.56032727849107,2080
austin,calendar,random_forest,1,9.931791509620693,2080
austin,calendar,lgbm_point,1,9.666557035166502,2080
austin,calendar,naive_trailing7,2,21.612225274725276,2080
austin,calendar,seasonal_naive7,2,14.939903846153847,2080
austin,calendar,ridge,2,13.628946381481308,2080
austin,calendar,random_forest,2,13.260423450026785,2080
austin,calendar,lgbm_point,2,12.505197849578769,2080
austin,calendar,naive_trailing7,3,43.53166208791208,2080
austin,calendar,seasonal_naive7,3,42.76586538461538,2080
austin,calendar,ridge,3,31.905959985243037,2080
austin,calendar,random_forest,3,37.76745213738397,2080
austin,calendar,lgbm_point,3,37.38100562641998,2080
austin,calendar,naive_trailing7,4,30.232074175824177,2080
austin,calendar,seasonal_naive7,4,20.733653846153846,2080
austin,calendar,ridge,4,25.348729422975413,2080
austin,calendar,random_forest,4,16.008182568727733,2080
austin,calendar,lgbm_point,4,15.471841723252073,2080
austin,calendar_weather,naive_trailing7,0,17.172115384615385,2080
austin,calendar_weather,seasonal_naive7,0,17.61394230769231,2080
austin,calendar_weather,ridge,0,13.839171804469673,2080
austin,calendar_weather,random_forest,0,15.025174843256467,2080
austin,calendar_weather,lgbm_point,0,14.145999942642199,2080
austin,calendar_weather,naive_trailing7,1,14.210576923076923,2080
austin,calendar_weather,seasonal_naive7,1,13.230288461538462,2080
austin,calendar_weather,ridge,1,11.527179787512338,2080
austin,calendar_weather,random_forest,1,9.932477442424599,2080
austin,calendar_weather,lgbm_point,1,9.468774743539688,2080
austin,calendar_weather,naive_trailing7,2,21.612225274725276,2080
austin,calendar_weather,seasonal_naive7,2,14.939903846153847,2080
austin,calendar_weather,ridge,2,13.661202886171402,2080
austin,calendar_weather,random_forest,2,13.02486060989433,2080
