city,regime,horizon,best_policy,worst_policy,ranking,loss_uniform,loss_proportional,loss_point_greedy_fixed,loss_point_greedy_proportional,loss_quantile_full
austin,scarce,30,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform,273899.0,232046.0,233794.0,231926.0,232027.0
austin,scarce,60,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,1049149.0,886688.0,894482.0,886448.0,887337.0
austin,scarce,90,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,2279860.0,1918789.0,1936343.0,1918429.0,1920488.0
austin,scarce,180,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,8826329.0,7369669.0,7432906.0,7368949.0,7375303.0
austin,scarce,full,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,19977642.0,16383102.0,16572872.0,16381998.0,16410288.0
austin,moderate,30,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform,242189.0,162536.0,164070.0,162176.0,162277.0
austin,moderate,60,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,923211.0,612668.0,620107.0,611948.0,612837.0
austin,moderate,90,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,1998255.0,1305259.0,1324081.0,1304179.0,1306238.0
austin,moderate,180,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,7680114.0,4927609.0,5000409.0,4925449.0,4931803.0
austin,moderate,full,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,17113888.0,10651410.0,10869184.0,10648098.0,10679297.0
austin,generous,30,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform,241618.0,117069.0,117914.0,115676.0,115777.0
austin,generous,60,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform,922422.0,431751.0,439427.0,428948.0,429837.0
austin,generous,90,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform,1989593.0,898892.0,919271.0,894679.0,896738.0
austin,generous,180,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform,7671311.0,3304892.0,3386173.0,3296449.0,3302907.0
austin,generous,full,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,17099914.0,6838453.0,7085533.0,6825498.0,6856849.0
chicago,scarce,30,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,661758.0,573114.0,585452.0,573114.0,573140.0
chicago,scarce,60,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,2566163.0,2203604.0,2256270.0,2203604.0,2203806.0
chicago,scarce,90,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,5849429.0,4994338.0,5119903.0,4994338.0,4997713.0
chicago,scarce,180,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,22256613.0,18555678.0,19011556.0,18555678.0,18573929.0
chicago,scarce,full,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,47723755.0,37162683.0,38101878.0,37162683.0,37208413.0
chicago,moderate,30,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform,559706.0,364404.0,379912.0,363864.0,363890.0
chicago,moderate,60,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform,2187474.0,1381184.0,1441070.0,1380104.0,1380442.0
chicago,moderate,90,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,5004715.0,3153208.0,3305112.0,3151588.0,3160808.0
chicago,moderate,180,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,19162047.0,11228418.0,11825642.0,11225178.0,11270820.0
chicago,moderate,full,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,41456191.0,19965951.0,21402749.0,19960983.0,20087932.0
chicago,generous,30,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,485811.0,178404.0,206577.0,177864.0,178430.0
chicago,generous,60,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,1922237.0,649184.0,747602.0,648104.0,650632.0
chicago,generous,90,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,4446527.0,1515208.0,1750752.0,1513588.0,1529741.0
chicago,generous,180,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,17327642.0,4712418.0,5591010.0,4709178.0,4778250.0
chicago,generous,full,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,37425429.0,5451379.0,6920807.0,5447834.0,5561653.0
nyc,scarce,30,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,2174876.0,1525940.0,1607821.0,1525940.0,1532118.0
nyc,scarce,60,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,8823658.0,6616817.0,6956770.0,6616817.0,6638188.0
nyc,scarce,90,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,19511385.0,15205374.0,16095641.0,15205374.0,15297855.0
nyc,scarce,180,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,77438301.0,60683215.0,64278525.0,60683215.0,61094040.0
nyc,scarce,full,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,190188344.0,146024681.0,154437576.0,146024681.0,146938634.0
nyc,moderate,30,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,1813597.0,735440.0,823665.0,738140.0,741618.0
nyc,moderate,60,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,7346967.0,3505817.0,3884481.0,3511217.0,3527258.0
nyc,moderate,90,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,16177429.0,8243874.0,9256545.0,8251974.0,8339361.0
nyc,moderate,180,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,64007824.0,32990215.0,37218287.0,33006415.0,33439285.0
nyc,moderate,full,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,159106556.0,81040481.0,91571785.0,81065321.0,82149267.0
nyc,generous,30,quantile_full,uniform,quantile_full>proportional>point_greedy_proportional>point_greedy_fixed>uniform,1509552.0,59540.0,83200.0,61799.0,58200.0
nyc,generous,60,proportional,uniform,proportional>quantile_full>point_greedy_proportional>point_greedy_fixed>uniform,6138723.0,684797.0,894988.0,686636.0,685814.0
nyc,generous,90,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,13461164.0,1747734.0,2497270.0,1749153.0,1809047.0
nyc,generous,180,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform,52974902.0,6288715.0,10020295.0,6288874.0,6677699.0
nyc,generous,full,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,133717691.0,17608997.0,27875499.0,17607812.0,18748666.0
sf,scarce,30,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform,641958.0,308878.0,312632.0,308129.0,308129.0
sf,scarce,60,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,2474363.0,1151167.0,1194007.0,1149668.0,1164546.0
sf,scarce,90,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,5528520.0,2541362.0,2645561.0,2539113.0,2572367.0
sf,scarce,180,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,23612833.0,11639273.0,11997853.0,11634774.0,11725622.0
sf,scarce,full,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,57455738.0,29492447.0,30255010.0,29485573.0,29644860.0
sf,moderate,30,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform,588207.0,146650.0,149882.0,145379.0,145379.0
sf,moderate,60,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform,2270391.0,511729.0,553507.0,509168.0,524046.0
