city,regime,kappa,units,policy,total_loss,pct_vs_proportional,pct_vs_uniform
austin,scarce,1,415,uniform,19671567.0,-24.436,0.0
austin,scarce,1,415,proportional,15808608.0,0.0,19.637
austin,scarce,1,415,point_greedy/fixed_index,16648324.0,-5.312,15.369
austin,scarce,1,415,point_greedy/random_mean,16191031.55,-2.419,17.693
austin,scarce,1,415,point_greedy/random_min,16183387.0,-2.371,17.732
austin,scarce,1,415,point_greedy/random_max,16199498.0,-2.473,17.65
austin,scarce,1,415,point_greedy/proportional_unmet,15808608.0,0.0,19.637
austin,scarce,1,415,median_arm/fixed_index,16600119.0,-5.007,15.614
austin,scarce,1,415,implied_mean_arm/fixed_index,16740253.0,-5.893,14.901
austin,scarce,1,415,quantile_full,15919246.0,-0.7,19.075
austin,scarce,1,415,quantile_full_conformal,15877153.0,-0.434,19.289
austin,moderate,1,533,uniform,17459294.0,-54.535,0.0
austin,moderate,1,533,proportional,11297940.0,0.0,35.29
austin,moderate,1,533,point_greedy/fixed_index,12178683.0,-7.796,30.245
austin,moderate,1,533,point_greedy/random_mean,11783094.8,-4.294,32.511
austin,moderate,1,533,point_greedy/random_min,11774047.0,-4.214,32.563
austin,moderate,1,533,point_greedy/random_max,11792297.0,-4.376,32.458
austin,moderate,1,533,point_greedy/proportional_unmet,11297940.0,0.0,35.29
austin,moderate,1,533,median_arm/fixed_index,12121700.0,-7.291,30.572
austin,moderate,1,533,implied_mean_arm/fixed_index,12298482.0,-8.856,29.559
austin,moderate,1,533,quantile_full,11419821.0,-1.079,34.592
austin,moderate,1,533,quantile_full_conformal,11374180.0,-0.675,34.853
austin,generous,1,652,uniform,15521252.0,-129.977,0.0
austin,generous,1,652,proportional,6749046.0,0.0,56.517
austin,generous,1,652,point_greedy/fixed_index,7852508.0,-16.35,49.408
austin,generous,1,652,point_greedy/random_mean,7304953.8,-8.237,52.936
austin,generous,1,652,point_greedy/random_min,7300809.0,-8.175,52.962
austin,generous,1,652,point_greedy/random_max,7312567.0,-8.35,52.887
austin,generous,1,652,point_greedy/proportional_unmet,6749046.0,0.0,56.517
austin,generous,1,652,median_arm/fixed_index,7780260.0,-15.279,49.874
austin,generous,1,652,implied_mean_arm/fixed_index,7989884.0,-18.385,48.523
austin,generous,1,652,quantile_full,6886507.0,-2.037,55.632
austin,generous,1,652,quantile_full_conformal,6835377.0,-1.279,55.961
austin,scarce,5,83,uniform,19599502.0,-23.98,0.0
austin,scarce,5,83,proportional,15808608.0,0.0,19.342
austin,scarce,5,83,point_greedy/fixed_index,16491648.0,-4.321,15.857
austin,scarce,5,83,point_greedy/random_mean,16064064.0,-1.616,18.038
austin,scarce,5,83,point_greedy/random_min,16055150.0,-1.56,18.084
austin,scarce,5,83,point_greedy/random_max,16076974.0,-1.698,17.973
austin,scarce,5,83,point_greedy/proportional_unmet,15808608.0,0.0,19.342
austin,scarce,5,83,median_arm/fixed_index,16465981.0,-4.158,15.988
