city,feature_set,poisson_glm_mae,selected_model,selected_mae,naive_mae,poisson_beats_selected,poisson_beats_naive
austin,internal,31.228,random_forest,16.529,30.371,False,False
austin,calendar,26.055,lgbm_point,14.843,30.371,False,True
austin,calendar_weather,26.126,lgbm_point,14.844,30.371,False,True
chicago,internal,90.16,random_forest,60.374,111.461,False,True
chicago,calendar,74.126,lgbm_point,50.945,111.461,False,True
chicago,calendar_weather,73.525,lgbm_point,49.295,111.461,False,True
nyc,internal,263.048,lgbm_point,207.022,305.618,False,True
nyc,calendar,253.983,lgbm_point,182.378,305.618,False,True
nyc,calendar_weather,253.053,lgbm_point,165.417,305.618,False,True
sf,internal,41.869,ridge,35.183,44.769,False,True
sf,calendar,36.664,lgbm_point,31.532,44.769,False,True
sf,calendar_weather,36.336,lgbm_point,30.061,44.769,False,True
