city,regime,units,policy,total_loss,pct_vs_uniform,pct_vs_proportional
austin,scarce,8,uniform,19977642.0,0.0,-21.941
austin,scarce,8,proportional,16383102.0,17.993,0.0
austin,scarce,8,quantile_full,16410288.0,17.857,-0.166
austin,scarce,8,point_greedy/fixed_index,16572872.0,17.043,-1.158
austin,scarce,8,point_greedy/random_mean,16406243.05,17.877,-0.141
austin,scarce,8,point_greedy/random_min,16397061.0,17.923,-0.085
austin,scarce,8,point_greedy/random_max,16412513.0,17.846,-0.18
austin,scarce,8,point_greedy/proportional_unmet,16381998.0,17.998,0.007
austin,scarce,8,point_greedy/largest_carryover,16383102.0,17.993,0.0
austin,scarce,8,point_greedy/largest_forecast,16658633.0,16.614,-1.682
austin,scarce,8,point_greedy/smallest_alloc,16428244.0,17.767,-0.276
austin,scarce,8,point_greedy_smoothed/fixed_index,16413629.0,17.84,-0.186
austin,scarce,8,median_arm/fixed_index,16570052.0,17.057,-1.141
austin,scarce,8,median_arm/proportional_unmet,16381998.0,17.998,0.007
austin,scarce,8,implied_mean_arm/fixed_index,16607397.0,16.87,-1.369
austin,scarce,8,implied_mean_arm/proportional_unmet,16381998.0,17.998,0.007
austin,moderate,11,uniform,17113888.0,0.0,-60.673
austin,moderate,11,proportional,10651410.0,37.762,0.0
austin,moderate,11,quantile_full,10679297.0,37.599,-0.262
austin,moderate,11,point_greedy/fixed_index,10869184.0,36.489,-2.045
austin,moderate,11,point_greedy/random_mean,10699292.1,37.482,-0.45
austin,moderate,11,point_greedy/random_min,10690404.0,37.534,-0.366
austin,moderate,11,point_greedy/random_max,10709091.0,37.425,-0.542
austin,moderate,11,point_greedy/proportional_unmet,10648098.0,37.781,0.031
austin,moderate,11,point_greedy/largest_carryover,10649202.0,37.775,0.021
austin,moderate,11,point_greedy/largest_forecast,10986840.0,35.802,-3.149
austin,moderate,11,point_greedy/smallest_alloc,10723119.0,37.343,-0.673
austin,moderate,11,point_greedy_smoothed/fixed_index,10683405.0,37.575,-0.3
austin,moderate,11,median_arm/fixed_index,10865973.0,36.508,-2.014
austin,moderate,11,median_arm/proportional_unmet,10648098.0,37.781,0.031
austin,moderate,11,implied_mean_arm/fixed_index,10920984.0,36.186,-2.531
austin,moderate,11,implied_mean_arm/proportional_unmet,10648098.0,37.781,0.031
austin,generous,13,uniform,17099914.0,0.0,-150.055
austin,generous,13,proportional,6838453.0,60.009,0.0
austin,generous,13,quantile_full,6856849.0,59.901,-0.269
austin,generous,13,point_greedy/fixed_index,7085533.0,58.564,-3.613
austin,generous,13,point_greedy/random_mean,6889630.9,59.71,-0.748
austin,generous,13,point_greedy/random_min,6874922.0,59.796,-0.533
austin,generous,13,point_greedy/random_max,6902109.0,59.637,-0.931
