city,feature_set,model,affected_rows_train,affected_rows_val,affected_rows_test,test_mae_original,test_mae_original_reduced_testset,test_mae_sensitivity,delta_abs,delta_pct,val_mae_sensitivity
austin,weather,naive_trailing7,0,0,24,30.3714,30.1814,30.1814,0.0,0.0,30.2806
austin,weather,seasonal_naive7,0,0,24,21.6132,21.2601,21.2601,0.0,0.0,20.5173
austin,weather,ridge,0,0,24,24.9545,24.7982,24.7982,0.0,0.0,24.4116
austin,weather,random_forest,0,0,24,16.6173,16.4366,16.4366,-0.0,-0.0,16.5693
austin,weather,lgbm_point,0,0,24,16.5297,16.3194,16.3194,0.0,0.0,16.4624
austin,calendar_weather,naive_trailing7,0,0,24,30.3714,30.1814,30.1814,0.0,0.0,30.2806
austin,calendar_weather,seasonal_naive7,0,0,24,21.6132,21.2601,21.2601,0.0,0.0,20.5173
austin,calendar_weather,ridge,0,0,24,25.609,25.4593,25.4593,0.0,0.0,25.1389
austin,calendar_weather,random_forest,0,0,24,15.4673,15.3111,15.3111,0.0,0.0,15.8742
austin,calendar_weather,lgbm_point,0,0,24,14.8443,14.6147,14.6147,0.0,0.0,15.2445
sf,weather,naive_trailing7,16,112,24,44.769,44.9162,44.9162,0.0,0.0,42.9515
sf,weather,seasonal_naive7,16,112,24,43.7864,43.949,43.949,0.0,0.0,37.7812
sf,weather,ridge,16,112,24,35.8663,35.8656,35.9732,0.1076,0.3,32.1959
sf,weather,random_forest,16,112,24,33.2151,33.2723,33.6923,0.42,1.262,32.734
sf,weather,lgbm_point,16,112,24,33.2253,33.2641,33.4579,0.1938,0.583,32.4688
sf,calendar_weather,naive_trailing7,16,112,24,44.769,44.9162,44.9162,0.0,0.0,42.9515
sf,calendar_weather,seasonal_naive7,16,112,24,43.7864,43.949,43.949,0.0,0.0,37.7812
sf,calendar_weather,ridge,16,112,24,36.6906,36.6784,36.7301,0.0517,0.141,33.1434
sf,calendar_weather,random_forest,16,112,24,31.5616,31.6031,31.9254,0.3224,1.02,31.5889
sf,calendar_weather,lgbm_point,16,112,24,30.0611,30.1884,29.6914,-0.4969,-1.646,29.1017
