City,Regime,Tie %,Fixed,Rand. worst,Rand. best,Prop. TB,Full dist.
austin,generous,99.8,-3.61,-0.93,-0.53,0.19,-0.27
austin,moderate,99.9,-2.04,-0.54,-0.37,0.03,-0.26
austin,scarce,100.0,-1.16,-0.18,-0.08,0.01,-0.17
chicago,generous,93.8,-26.96,-14.75,-11.99,0.06,-2.02
chicago,moderate,100.0,-7.2,-3.83,-3.08,0.02,-0.61
chicago,scarce,100.0,-2.53,-1.02,-0.68,0.0,-0.12
nyc,generous,99.6,-58.3,-24.12,-22.03,0.01,-6.47
nyc,moderate,100.0,-13.0,-3.73,-3.48,-0.03,-1.37
nyc,scarce,100.0,-5.76,-1.26,-1.09,0.0,-0.63
sf,generous,92.1,-6.15,-6.36,-6.14,0.79,0.8
sf,moderate,99.8,-4.67,-4.47,-3.68,0.07,-0.91
sf,scarce,99.8,-2.59,-1.66,-1.23,0.02,-0.52
