city,regime,horizon,best_policy,worst_policy,ranking
austin,scarce,30,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform
austin,scarce,60,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
austin,scarce,90,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
austin,scarce,180,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
austin,scarce,full,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
austin,moderate,30,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform
austin,moderate,60,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
austin,moderate,90,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
austin,moderate,180,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
austin,moderate,full,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
austin,generous,30,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform
austin,generous,60,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform
austin,generous,90,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform
austin,generous,180,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform
austin,generous,full,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
chicago,scarce,30,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
chicago,scarce,60,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
chicago,scarce,90,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
chicago,scarce,180,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
chicago,scarce,full,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
chicago,moderate,30,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform
chicago,moderate,60,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform
chicago,moderate,90,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
chicago,moderate,180,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
chicago,moderate,full,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
chicago,generous,30,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
chicago,generous,60,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
chicago,generous,90,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
chicago,generous,180,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
chicago,generous,full,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
nyc,scarce,30,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
nyc,scarce,60,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
nyc,scarce,90,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
nyc,scarce,180,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
nyc,scarce,full,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
nyc,moderate,30,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
nyc,moderate,60,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
nyc,moderate,90,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
nyc,moderate,180,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
nyc,moderate,full,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
nyc,generous,30,quantile_full,uniform,quantile_full>proportional>point_greedy_proportional>point_greedy_fixed>uniform
nyc,generous,60,proportional,uniform,proportional>quantile_full>point_greedy_proportional>point_greedy_fixed>uniform
nyc,generous,90,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
nyc,generous,180,proportional,uniform,proportional>point_greedy_proportional>quantile_full>point_greedy_fixed>uniform
nyc,generous,full,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
sf,scarce,30,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform
sf,scarce,60,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
sf,scarce,90,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
sf,scarce,180,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
sf,scarce,full,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
sf,moderate,30,point_greedy_proportional,uniform,point_greedy_proportional>quantile_full>proportional>point_greedy_fixed>uniform
sf,moderate,60,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
sf,moderate,90,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
sf,moderate,180,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
sf,moderate,full,point_greedy_proportional,uniform,point_greedy_proportional>proportional>quantile_full>point_greedy_fixed>uniform
sf,generous,30,quantile_full,uniform,quantile_full>proportional>point_greedy_proportional>point_greedy_fixed>uniform
sf,generous,60,quantile_full,uniform,quantile_full>proportional>point_greedy_proportional>point_greedy_fixed>uniform
sf,generous,90,quantile_full,uniform,quantile_full>proportional>point_greedy_proportional>point_greedy_fixed>uniform
sf,generous,180,quantile_full,uniform,quantile_full>point_greedy_proportional>proportional>point_greedy_fixed>uniform
sf,generous,full,quantile_full,uniform,quantile_full>point_greedy_proportional>proportional>point_greedy_fixed>uniform
