city,family,quantile/full_arm,uniform
austin,housing_building,0.9969,1.0
austin,noise,0.997,1.0
austin,other,0.9991,0.5888
austin,parks_trees,0.9931,1.0
austin,public_safety,0.9984,1.0
austin,sanitation,0.9972,0.2913
austin,streets_transport,0.1856,0.183
austin,water_sewer,0.0,1.0
chicago,housing_building,0.9983,1.0
chicago,other,0.9978,1.0
chicago,parks_trees,0.9969,0.9984
chicago,public_safety,0.9992,1.0
chicago,sanitation,0.9998,0.2865
chicago,streets_transport,0.6734,0.4265
chicago,water_sewer,0.0,0.9999
nyc,housing_building,0.9993,0.4549
nyc,noise,1.0,0.402
nyc,other,0.9991,1.0
nyc,parks_trees,0.9996,1.0
nyc,public_safety,0.9988,1.0
nyc,sanitation,0.9822,1.0
nyc,streets_transport,0.356,0.3262
nyc,water_sewer,0.0025,1.0
sf,housing_building,0.9904,1.0
sf,noise,0.9978,1.0
sf,other,0.9999,1.0
sf,parks_trees,0.9951,1.0
sf,public_safety,0.0,1.0
sf,sanitation,0.9996,0.4915
sf,streets_transport,0.686,0.1364
sf,water_sewer,0.0,1.0
