city,feature_set,selected_model,val_mae,test_mae
austin,calendar,lgbm_point,15.389,14.843
austin,calendar_weather,lgbm_point,15.245,14.844
austin,calendar_weather_lagged_only,lgbm_point,15.711,14.865
austin,internal,random_forest,16.494,16.529
austin,weather,lgbm_point,16.462,16.53
chicago,calendar,lgbm_point,48.527,50.945
chicago,calendar_weather,lgbm_point,46.802,49.295
chicago,calendar_weather_lagged_only,lgbm_point,47.997,50.388
chicago,internal,random_forest,54.803,60.374
chicago,weather,lgbm_point,52.58,58.665
nyc,calendar,lgbm_point,146.497,182.378
nyc,calendar_weather,lgbm_point,131.66,165.417
nyc,calendar_weather_lagged_only,lgbm_point,150.323,178.626
nyc,internal,lgbm_point,165.701,207.022
nyc,weather,lgbm_point,153.963,186.728
sf,calendar,lgbm_point,30.341,31.532
sf,calendar_weather,lgbm_point,28.973,30.061
sf,calendar_weather_lagged_only,lgbm_point,30.173,31.659
sf,internal,ridge,31.435,35.183
sf,weather,ridge,31.85,35.866
