City,Regime,kappa=1,kappa=5,kappa=10,kappa=25,kappa=50,kappa=100
austin,generous,100.0,100.0,100.0,100.0,99.8,93.5
austin,moderate,100.0,100.0,100.0,100.0,99.9,93.5
austin,scarce,100.0,100.0,100.0,100.0,100.0,93.5
chicago,generous,94.8,94.8,94.7,94.5,93.8,91.6
chicago,moderate,100.0,100.0,100.0,100.0,100.0,100.0
chicago,scarce,100.0,100.0,100.0,100.0,100.0,100.0
nyc,generous,99.7,99.7,99.7,99.7,99.6,99.3
nyc,moderate,100.0,100.0,100.0,100.0,100.0,100.0
nyc,scarce,100.0,100.0,100.0,100.0,100.0,100.0
sf,generous,99.7,99.6,99.4,97.5,92.1,88.6
sf,moderate,100.0,100.0,100.0,100.0,99.8,99.3
sf,scarce,100.0,100.0,100.0,100.0,99.8,99.5
