city,model,internal,calendar,weather,calendar_weather
austin,lgbm_point,16.719,14.843,16.53,14.844
austin,naive_trailing7,30.371,30.371,30.371,30.371
austin,random_forest,16.529,15.506,16.617,15.467
austin,ridge,24.976,25.677,24.955,25.609
austin,seasonal_naive7,21.613,21.613,21.613,21.613
chicago,lgbm_point,59.236,50.945,58.665,49.295
chicago,naive_trailing7,111.461,111.461,111.461,111.461
chicago,random_forest,60.374,54.418,59.268,53.741
chicago,ridge,71.809,70.51,72.851,70.81
chicago,seasonal_naive7,84.238,84.238,84.238,84.238
nyc,lgbm_point,207.022,182.378,186.728,165.417
nyc,naive_trailing7,305.618,305.618,305.618,305.618
nyc,random_forest,209.281,195.088,200.152,190.629
nyc,ridge,215.154,213.486,214.625,213.113
nyc,seasonal_naive7,282.439,282.439,282.439,282.439
sf,lgbm_point,35.046,31.532,33.225,30.061
sf,naive_trailing7,44.769,44.769,44.769,44.769
sf,random_forest,34.515,32.84,33.215,31.562
sf,ridge,35.183,36.562,35.866,36.691
sf,seasonal_naive7,43.786,43.786,43.786,43.786
