city,regime,units,policy,config,total_loss,pct_reduction_vs_uniform,final_carryover,served_fraction_other
austin,scarce,8,uniform,uniform,19977642.0,0.0,136216.0,0.294
austin,scarce,8,proportional,local/internal/naive_trailing7,16383102.0,17.993,108390.0,0.552
austin,scarce,8,greedy_ev_point,local/internal/naive_trailing7,17072599.0,14.541,113419.0,0.999
austin,scarce,8,proportional,local/internal/seasonal_naive7,16383102.0,17.993,108390.0,0.55
austin,scarce,8,greedy_ev_point,local/internal/seasonal_naive7,16810997.0,15.851,112054.0,1.0
austin,scarce,8,proportional,local/internal/ridge,16383102.0,17.993,108390.0,0.55
austin,scarce,8,greedy_ev_point,local/internal/ridge,16809451.0,15.859,112073.0,1.0
austin,scarce,8,proportional,local/internal/random_forest,16383102.0,17.993,108390.0,0.55
austin,scarce,8,greedy_ev_point,local/internal/random_forest,16626244.0,16.776,110481.0,1.0
austin,scarce,8,proportional,local/internal/lgbm_point,16383102.0,17.993,108390.0,0.55
austin,scarce,8,greedy_ev_point,local/internal/lgbm_point,16637661.0,16.719,110496.0,1.0
austin,scarce,8,proportional,local/calendar/random_forest,16383102.0,17.993,108390.0,0.55
austin,scarce,8,greedy_ev_point,local/calendar/random_forest,16580108.0,17.007,110196.0,1.0
austin,scarce,8,proportional,local/calendar/lgbm_point,16383102.0,17.993,108390.0,0.552
austin,scarce,8,greedy_ev_point,local/calendar/lgbm_point,16537604.0,17.219,109776.0,1.0
austin,scarce,8,proportional,local/calendar_weather/ridge,16383102.0,17.993,108390.0,0.55
austin,scarce,8,greedy_ev_point,local/calendar_weather/ridge,16929188.0,15.259,112511.0,1.0
austin,scarce,8,proportional,local/calendar_weather/random_forest,16383102.0,17.993,108390.0,0.55
austin,scarce,8,greedy_ev_point,local/calendar_weather/random_forest,16591515.0,16.95,110173.0,1.0
austin,scarce,8,proportional,local/calendar_weather/lgbm_point,16383102.0,17.993,108390.0,0.552
austin,scarce,8,greedy_ev_point,local/calendar_weather/lgbm_point,16555517.0,17.13,109927.0,1.0
austin,scarce,8,proportional,global/calendar_weather/lgbm_point,16383102.0,17.993,108390.0,0.552
austin,scarce,8,greedy_ev_point,global/calendar_weather/lgbm_point,16572872.0,17.043,110249.0,1.0
austin,scarce,8,greedy_ev_point,quantile/median_arm,16570052.0,17.057,110006.0,1.0
austin,scarce,8,greedy_ev_point,quantile/implied_mean_arm,16607397.0,16.87,110395.0,1.0
austin,scarce,8,greedy_ev_quantile,quantile/full_arm,16410288.0,17.857,108684.0,0.999
austin,moderate,11,uniform,uniform,17113888.0,0.0,114472.0,0.589
austin,moderate,11,proportional,local/internal/naive_trailing7,10653056.0,37.752,67004.0,0.691
austin,moderate,11,greedy_ev_point,local/internal/naive_trailing7,11597151.0,32.235,74556.0,0.999
austin,moderate,11,proportional,local/internal/seasonal_naive7,10655535.0,37.737,67013.0,0.691
austin,moderate,11,greedy_ev_point,local/internal/seasonal_naive7,11228812.0,34.388,72052.0,1.0
austin,moderate,11,proportional,local/internal/ridge,10651960.0,37.758,67000.0,0.691
austin,moderate,11,greedy_ev_point,local/internal/ridge,11351146.0,33.673,72939.0,1.0
austin,moderate,11,proportional,local/internal/random_forest,10651410.0,37.762,66998.0,0.691
austin,moderate,11,greedy_ev_point,local/internal/random_forest,10968827.0,35.907,70012.0,1.0
austin,moderate,11,proportional,local/internal/lgbm_point,10651410.0,37.762,66998.0,0.691
austin,moderate,11,greedy_ev_point,local/internal/lgbm_point,10972838.0,35.883,69959.0,1.0
austin,moderate,11,proportional,local/calendar/random_forest,10651410.0,37.762,66998.0,0.691
austin,moderate,11,greedy_ev_point,local/calendar/random_forest,10904231.0,36.284,69506.0,1.0
austin,moderate,11,proportional,local/calendar/lgbm_point,10651410.0,37.762,66998.0,0.691
austin,moderate,11,greedy_ev_point,local/calendar/lgbm_point,10840084.0,36.659,68815.0,1.0
austin,moderate,11,proportional,local/calendar_weather/ridge,10656928.0,37.729,67018.0,0.691
austin,moderate,11,greedy_ev_point,local/calendar_weather/ridge,11438030.0,33.165,73109.0,1.0
austin,moderate,11,proportional,local/calendar_weather/random_forest,10651410.0,37.762,66998.0,0.691
austin,moderate,11,greedy_ev_point,local/calendar_weather/random_forest,10911662.0,36.241,69457.0,1.0
austin,moderate,11,proportional,local/calendar_weather/lgbm_point,10651410.0,37.762,66998.0,0.691
austin,moderate,11,greedy_ev_point,local/calendar_weather/lgbm_point,10857743.0,36.556,68916.0,1.0
austin,moderate,11,proportional,global/calendar_weather/lgbm_point,10651410.0,37.762,66998.0,0.691
austin,moderate,11,greedy_ev_point,global/calendar_weather/lgbm_point,10869184.0,36.489,69174.0,1.0
austin,moderate,11,greedy_ev_point,quantile/median_arm,10865973.0,36.508,68987.0,1.0
austin,moderate,11,greedy_ev_point,quantile/implied_mean_arm,10920984.0,36.186,69568.0,1.0
austin,moderate,11,greedy_ev_quantile,quantile/full_arm,10679297.0,37.599,67347.0,0.999
austin,generous,13,uniform,uniform,17099914.0,0.0,114472.0,0.589
austin,generous,13,proportional,local/internal/naive_trailing7,6839549.0,60.002,39437.0,0.828
austin,generous,13,greedy_ev_point,local/internal/naive_trailing7,8579398.0,49.828,51906.0,0.999
austin,generous,13,proportional,local/internal/seasonal_naive7,6832935.0,60.041,39413.0,0.827
austin,generous,13,greedy_ev_point,local/internal/seasonal_naive7,7601464.0,55.547,46102.0,1.0
austin,generous,13,proportional,local/internal/ridge,6838453.0,60.009,39433.0,0.828
austin,generous,13,greedy_ev_point,local/internal/ridge,7945002.0,53.538,47942.0,1.0
austin,generous,13,proportional,local/internal/random_forest,6838453.0,60.009,39433.0,0.828
austin,generous,13,greedy_ev_point,local/internal/random_forest,7222243.0,57.764,43025.0,1.0
austin,generous,13,proportional,local/internal/lgbm_point,6838453.0,60.009,39433.0,0.828
austin,generous,13,greedy_ev_point,local/internal/lgbm_point,7232352.0,57.705,42859.0,1.0
austin,generous,13,proportional,local/calendar/random_forest,6838453.0,60.009,39433.0,0.827
austin,generous,13,greedy_ev_point,local/calendar/random_forest,7145438.0,58.214,42356.0,1.0
austin,generous,13,proportional,local/calendar/lgbm_point,6838453.0,60.009,39433.0,0.828
austin,generous,13,greedy_ev_point,local/calendar/lgbm_point,7045492.0,58.798,41377.0,1.0
austin,generous,13,proportional,local/calendar_weather/ridge,6838453.0,60.009,39433.0,0.828
austin,generous,13,greedy_ev_point,local/calendar_weather/ridge,8023352.0,53.08,48174.0,1.0
austin,generous,13,proportional,local/calendar_weather/random_forest,6838453.0,60.009,39433.0,0.827
austin,generous,13,greedy_ev_point,local/calendar_weather/random_forest,7155003.0,58.158,42357.0,1.0
austin,generous,13,proportional,local/calendar_weather/lgbm_point,6838453.0,60.009,39433.0,0.828
