scenario,city,regime,units,policy,config,total_loss,final_carryover
normative_weights,austin,scarce,8,uniform,uniform,34181621.0,136216.0
normative_weights,austin,scarce,8,proportional,valbest,29316337.0,108390.0
normative_weights,austin,scarce,8,greedy_ev_point,valbest,22815237.0,111247.0
normative_weights,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,22665235.0,110682.0
normative_weights,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,22521177.0,110143.0
yield_housing_building_x070,austin,scarce,8,uniform,uniform,19977670.0,136216.0
yield_housing_building_x070,austin,scarce,8,proportional,valbest,16383102.0,108390.0
yield_housing_building_x070,austin,scarce,8,greedy_ev_point,valbest,16571030.0,110238.0
yield_housing_building_x070,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,16410288.0,108684.0
yield_housing_building_x070,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,16381998.0,108386.0
yield_housing_building_x130,austin,scarce,8,uniform,uniform,19977636.0,136216.0
yield_housing_building_x130,austin,scarce,8,proportional,valbest,16383102.0,108390.0
yield_housing_building_x130,austin,scarce,8,greedy_ev_point,valbest,16492724.0,109625.0
yield_housing_building_x130,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,16322661.0,108021.0
yield_housing_building_x130,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,16300254.0,107793.0
yield_noise_x070,austin,scarce,8,uniform,uniform,20548282.0,140346.0
yield_noise_x070,austin,scarce,8,proportional,valbest,16951263.0,112511.0
yield_noise_x070,austin,scarce,8,greedy_ev_point,valbest,16508814.0,109261.0
yield_noise_x070,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,16398957.0,108552.0
yield_noise_x070,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,16381998.0,108386.0
yield_noise_x130,austin,scarce,8,uniform,uniform,19416627.0,132121.0
yield_noise_x130,austin,scarce,8,proportional,valbest,15959922.0,104985.0
yield_noise_x130,austin,scarce,8,greedy_ev_point,valbest,15980735.0,105674.0
yield_noise_x130,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,15872646.0,104718.0
yield_noise_x130,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,15766245.0,103719.0
yield_other_x070,austin,scarce,8,uniform,uniform,20551032.0,140356.0
yield_other_x070,austin,scarce,8,proportional,valbest,17529882.0,116670.0
yield_other_x070,austin,scarce,8,greedy_ev_point,valbest,16509667.0,110046.0
yield_other_x070,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,16396238.0,108581.0
yield_other_x070,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,16381998.0,108386.0
yield_other_x130,austin,scarce,8,uniform,uniform,19404252.0,132076.0
yield_other_x130,austin,scarce,8,proportional,valbest,15465522.0,101820.0
yield_other_x130,austin,scarce,8,greedy_ev_point,valbest,15089127.0,100006.0
yield_other_x130,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,14990962.0,98799.0
yield_other_x130,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,14883272.0,97960.0
yield_parks_trees_x070,austin,scarce,8,uniform,uniform,19987785.0,136216.0
yield_parks_trees_x070,austin,scarce,8,proportional,valbest,16447227.0,108675.0
yield_parks_trees_x070,austin,scarce,8,greedy_ev_point,valbest,16558447.0,110173.0
yield_parks_trees_x070,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,16410288.0,108684.0
yield_parks_trees_x070,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,16381998.0,108386.0
yield_parks_trees_x130,austin,scarce,8,uniform,uniform,19977152.0,136216.0
yield_parks_trees_x130,austin,scarce,8,proportional,valbest,16344312.0,108225.0
yield_parks_trees_x130,austin,scarce,8,greedy_ev_point,valbest,16370299.0,109028.0
yield_parks_trees_x130,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,16221454.0,107539.0
yield_parks_trees_x130,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,16178807.0,107180.0
yield_public_safety_x070,austin,scarce,8,uniform,uniform,20078237.0,136825.0
yield_public_safety_x070,austin,scarce,8,proportional,valbest,16538682.0,109710.0
yield_public_safety_x070,austin,scarce,8,greedy_ev_point,valbest,16567097.0,110202.0
yield_public_safety_x070,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,16410288.0,108684.0
yield_public_safety_x070,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,16381998.0,108386.0
yield_public_safety_x130,austin,scarce,8,uniform,uniform,19969313.0,136216.0
yield_public_safety_x130,austin,scarce,8,proportional,valbest,16289052.0,107640.0
yield_public_safety_x130,austin,scarce,8,greedy_ev_point,valbest,16292440.0,108222.0
yield_public_safety_x130,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,16147021.0,106822.0
yield_public_safety_x130,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,16104835.0,106418.0
yield_sanitation_x070,austin,scarce,8,uniform,uniform,20551032.0,140356.0
yield_sanitation_x070,austin,scarce,8,proportional,valbest,17529882.0,116670.0
yield_sanitation_x070,austin,scarce,8,greedy_ev_point,valbest,16572872.0,110249.0
yield_sanitation_x070,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,16410288.0,108684.0
yield_sanitation_x070,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,16381998.0,108386.0
yield_sanitation_x130,austin,scarce,8,uniform,uniform,19404252.0,132076.0
yield_sanitation_x130,austin,scarce,8,proportional,valbest,15436182.0,101685.0
yield_sanitation_x130,austin,scarce,8,greedy_ev_point,valbest,14978728.0,99503.0
yield_sanitation_x130,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,14893276.0,98350.0
yield_sanitation_x130,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,14825539.0,97718.0
yield_streets_transport_x070,austin,scarce,8,uniform,uniform,20551032.0,140356.0
yield_streets_transport_x070,austin,scarce,8,proportional,valbest,18107382.0,120825.0
yield_streets_transport_x070,austin,scarce,8,greedy_ev_point,valbest,16572872.0,110249.0
yield_streets_transport_x070,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,16410344.0,108684.0
yield_streets_transport_x070,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,16381998.0,108386.0
yield_streets_transport_x130,austin,scarce,8,uniform,uniform,19404252.0,132076.0
yield_streets_transport_x130,austin,scarce,8,proportional,valbest,14871897.0,97845.0
yield_streets_transport_x130,austin,scarce,8,greedy_ev_point,valbest,14251225.0,94340.0
yield_streets_transport_x130,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,14077775.0,92714.0
yield_streets_transport_x130,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,13866489.0,91298.0
yield_water_sewer_x070,austin,scarce,8,uniform,uniform,19977726.0,136216.0
yield_water_sewer_x070,austin,scarce,8,proportional,valbest,16383102.0,108390.0
yield_water_sewer_x070,austin,scarce,8,greedy_ev_point,valbest,16572872.0,110249.0
yield_water_sewer_x070,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,16410288.0,108684.0
yield_water_sewer_x070,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,16381998.0,108386.0
yield_water_sewer_x130,austin,scarce,8,uniform,uniform,19977638.0,136216.0
yield_water_sewer_x130,austin,scarce,8,proportional,valbest,16383102.0,108390.0
yield_water_sewer_x130,austin,scarce,8,greedy_ev_point,valbest,16440752.0,109383.0
yield_water_sewer_x130,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,16279368.0,107819.0
yield_water_sewer_x130,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,16240877.0,107485.0
abandonment_10,austin,scarce,8,uniform,uniform,1324695.2133,4428.1383
abandonment_10,austin,scarce,8,proportional,valbest,1049998.0015,3390.1999
abandonment_10,austin,scarce,8,greedy_ev_point,valbest,1070230.9121,3418.5672
abandonment_10,austin,scarce,8,greedy_ev_quantile,quantile/full_arm,1052240.8764,3392.1452
abandonment_10,austin,scarce,8,hindsight_myopic_reference,hindsight_myopic_reference,1049958.0015,3390.1999
normative_weights,austin,moderate,11,uniform,uniform,31317861.0,114472.0
normative_weights,austin,moderate,11,proportional,valbest,18406295.0,66998.0
normative_weights,austin,moderate,11,greedy_ev_point,valbest,11674130.0,72206.0
normative_weights,austin,moderate,11,greedy_ev_quantile,quantile/full_arm,11559283.0,71893.0
normative_weights,austin,moderate,11,hindsight_myopic_reference,hindsight_myopic_reference,11412536.0,70556.0
yield_housing_building_x070,austin,moderate,11,uniform,uniform,17113888.0,114472.0
yield_housing_building_x070,austin,moderate,11,proportional,valbest,10758705.0,67943.0
yield_housing_building_x070,austin,moderate,11,greedy_ev_point,valbest,10872803.0,69251.0
yield_housing_building_x070,austin,moderate,11,greedy_ev_quantile,quantile/full_arm,10679297.0,67347.0
yield_housing_building_x070,austin,moderate,11,hindsight_myopic_reference,hindsight_myopic_reference,10648098.0,66986.0
yield_housing_building_x130,austin,moderate,11,uniform,uniform,17113888.0,114472.0
yield_housing_building_x130,austin,moderate,11,proportional,valbest,10589310.0,66473.0
yield_housing_building_x130,austin,moderate,11,greedy_ev_point,valbest,10793156.0,68638.0
yield_housing_building_x130,austin,moderate,11,greedy_ev_quantile,quantile/full_arm,10591670.0,66684.0
yield_housing_building_x130,austin,moderate,11,hindsight_myopic_reference,hindsight_myopic_reference,10566354.0,66393.0
yield_noise_x070,austin,moderate,11,uniform,uniform,17376113.0,117251.0
yield_noise_x070,austin,moderate,11,proportional,valbest,11302176.0,72439.0
yield_noise_x070,austin,moderate,11,greedy_ev_point,valbest,10833179.0,68531.0
yield_noise_x070,austin,moderate,11,greedy_ev_quantile,quantile/full_arm,10668118.0,67215.0
yield_noise_x070,austin,moderate,11,hindsight_myopic_reference,hindsight_myopic_reference,10648098.0,66986.0
yield_noise_x130,austin,moderate,11,uniform,uniform,17103960.0,114472.0
yield_noise_x130,austin,moderate,11,proportional,valbest,10140420.0,63143.0
yield_noise_x130,austin,moderate,11,greedy_ev_point,valbest,10278628.0,64687.0
yield_noise_x130,austin,moderate,11,greedy_ev_quantile,quantile/full_arm,10141655.0,63381.0
yield_noise_x130,austin,moderate,11,hindsight_myopic_reference,hindsight_myopic_reference,10032345.0,62319.0
yield_other_x070,austin,moderate,11,uniform,uniform,18260668.0,122752.0
yield_other_x070,austin,moderate,11,proportional,valbest,12338460.0,79193.0
yield_other_x070,austin,moderate,11,greedy_ev_point,valbest,10810991.0,68850.0
yield_other_x070,austin,moderate,11,greedy_ev_quantile,quantile/full_arm,10662546.0,67181.0
yield_other_x070,austin,moderate,11,hindsight_myopic_reference,hindsight_myopic_reference,10648098.0,66986.0
yield_other_x130,austin,moderate,11,uniform,uniform,15967108.0,106192.0
yield_other_x130,austin,moderate,11,proportional,valbest,9485415.0,58643.0
yield_other_x130,austin,moderate,11,greedy_ev_point,valbest,9394049.0,59129.0
yield_other_x130,austin,moderate,11,greedy_ev_quantile,quantile/full_arm,9259971.0,57462.0
