city,regime,contrast,mean_daily_loss_diff,ci95_lo,ci95_hi,n_days,block_length,is_primary_block
austin,scarce,full_vs_median_arm,-578.855,-794.11,-379.769,276,28,True
austin,scarce,full_vs_median_arm,-578.855,-736.183,-436.646,276,14,False
austin,scarce,full_vs_median_arm,-578.855,-834.232,-335.288,276,56,False
austin,scarce,full_vs_implied_mean_arm,-714.163,-970.96,-481.286,276,28,True
austin,scarce,full_vs_implied_mean_arm,-714.163,-900.65,-546.043,276,14,False
austin,scarce,full_vs_implied_mean_arm,-714.163,-1010.932,-436.135,276,56,False
austin,scarce,valbest_vs_naive_greedy,-1810.605,-2389.833,-1242.922,276,28,True
austin,scarce,valbest_vs_naive_greedy,-1810.605,-2236.228,-1386.462,276,14,False
austin,scarce,valbest_vs_naive_greedy,-1810.605,-2562.125,-1061.844,276,56,False
austin,scarce,greedy_vs_proportional_valbest,687.572,418.833,1010.88,276,28,True
austin,scarce,greedy_vs_proportional_valbest,687.572,488.431,926.094,276,14,False
austin,scarce,greedy_vs_proportional_valbest,687.572,353.619,1069.56,276,56,False
austin,moderate,full_vs_median_arm,-676.362,-936.871,-442.173,276,28,True
austin,moderate,full_vs_median_arm,-676.362,-865.3,-504.695,276,14,False
austin,moderate,full_vs_median_arm,-676.362,-984.877,-387.552,276,56,False
austin,moderate,full_vs_implied_mean_arm,-875.678,-1211.501,-575.235,276,28,True
austin,moderate,full_vs_implied_mean_arm,-875.678,-1128.04,-653.99,276,14,False
austin,moderate,full_vs_implied_mean_arm,-875.678,-1261.434,-511.629,276,56,False
austin,moderate,valbest_vs_naive_greedy,-2637.562,-3586.405,-1714.101,276,28,True
austin,moderate,valbest_vs_naive_greedy,-2637.562,-3349.828,-1964.576,276,14,False
austin,moderate,valbest_vs_naive_greedy,-2637.562,-3847.311,-1458.552,276,56,False
austin,moderate,greedy_vs_proportional_valbest,789.036,472.049,1162.672,276,28,True
austin,moderate,greedy_vs_proportional_valbest,789.036,558.196,1064.473,276,14,False
austin,moderate,greedy_vs_proportional_valbest,789.036,401.543,1225.549,276,56,False
austin,generous,full_vs_median_arm,-872.409,-1187.07,-580.505,276,28,True
austin,generous,full_vs_median_arm,-872.409,-1101.116,-662.003,276,14,False
austin,generous,full_vs_median_arm,-872.409,-1247.244,-516.638,276,56,False
austin,generous,full_vs_implied_mean_arm,-1047.486,-1452.204,-676.632,276,28,True
austin,generous,full_vs_implied_mean_arm,-1047.486,-1342.989,-777.837,276,14,False
austin,generous,full_vs_implied_mean_arm,-1047.486,-1521.886,-596.415,276,56,False
austin,generous,valbest_vs_naive_greedy,-5412.554,-7089.665,-3715.653,276,28,True
austin,generous,valbest_vs_naive_greedy,-5412.554,-6695.183,-4178.612,276,14,False
austin,generous,valbest_vs_naive_greedy,-5412.554,-7536.439,-3194.359,276,56,False
austin,generous,greedy_vs_proportional_valbest,895.217,536.05,1318.369,276,28,True
austin,generous,greedy_vs_proportional_valbest,895.217,627.307,1208.181,276,14,False
austin,generous,greedy_vs_proportional_valbest,895.217,447.128,1393.8,276,56,False
chicago,scarce,full_vs_median_arm,-3434.554,-4261.702,-2557.026,276,28,True
chicago,scarce,full_vs_median_arm,-3434.554,-4082.928,-2796.412,276,14,False
chicago,scarce,full_vs_median_arm,-3434.554,-4417.517,-2284.772,276,56,False
chicago,scarce,full_vs_implied_mean_arm,-4633.688,-5787.956,-3409.86,276,28,True
chicago,scarce,full_vs_implied_mean_arm,-4633.688,-5537.621,-3722.8,276,14,False
chicago,scarce,full_vs_implied_mean_arm,-4633.688,-6031.584,-3024.28,276,56,False
chicago,scarce,valbest_vs_naive_greedy,-9744.841,-12418.991,-7044.523,276,28,True
chicago,scarce,valbest_vs_naive_greedy,-9744.841,-11796.202,-7760.396,276,14,False
chicago,scarce,valbest_vs_naive_greedy,-9744.841,-13057.47,-6314.778,276,56,False
chicago,scarce,greedy_vs_proportional_valbest,3402.88,2494.568,4264.739,276,28,True
chicago,scarce,greedy_vs_proportional_valbest,3402.88,2730.747,4079.001,276,14,False
chicago,scarce,greedy_vs_proportional_valbest,3402.88,2214.512,4454.672,276,56,False
chicago,moderate,full_vs_median_arm,-4887.888,-6473.487,-3378.605,276,28,True
chicago,moderate,full_vs_median_arm,-4887.888,-6079.024,-3766.588,276,14,False
