city,regime,policy,config,unmet_weighted,red_vs_uniform_pct,oracle_gap_closed_pct
austin,generous,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,1924928.0,91.855,97.272
austin,generous,proportional,local/internal/naive_trailing7,327110.0,98.616,104.432
austin,generous,greedy_ev_point,local/internal/naive_trailing7,4138389.0,82.488,87.353
austin,generous,proportional,local/internal/seasonal_naive7,318338.0,98.653,104.471
austin,generous,greedy_ev_point,local/internal/seasonal_naive7,2569597.0,89.127,94.383
austin,generous,proportional,local/internal/ridge,328711.0,98.609,104.425
austin,generous,greedy_ev_point,local/internal/ridge,2540978.0,89.248,94.511
austin,generous,proportional,local/internal/random_forest,303761.0,98.715,104.536
austin,generous,greedy_ev_point,local/internal/random_forest,2320778.0,90.18,95.498
austin,generous,proportional,local/internal/lgbm_point,301042.0,98.726,104.549
austin,generous,greedy_ev_point,local/internal/lgbm_point,2221405.0,90.6,95.943
austin,generous,proportional,local/calendar/random_forest,304444.0,98.712,104.533
austin,generous,greedy_ev_point,local/calendar/random_forest,2203710.0,90.675,96.023
austin,generous,proportional,local/calendar/lgbm_point,299058.0,98.735,104.558
austin,generous,greedy_ev_point,local/calendar/lgbm_point,1955521.0,91.725,97.135
austin,generous,proportional,local/calendar_weather/ridge,340124.0,98.561,104.374
austin,generous,greedy_ev_point,local/calendar_weather/ridge,2500462.0,89.419,94.693
austin,generous,proportional,local/calendar_weather/random_forest,303291.0,98.717,104.539
austin,generous,greedy_ev_point,local/calendar_weather/random_forest,2258780.0,90.442,95.776
austin,generous,proportional,local/calendar_weather/lgbm_point,298315.0,98.738,104.561
austin,generous,greedy_ev_point,local/calendar_weather/lgbm_point,1853936.0,92.155,97.59
austin,generous,proportional,global/calendar_weather/lgbm_point,300579.0,98.728,104.551
austin,generous,greedy_ev_point,global/calendar_weather/lgbm_point,2000089.0,91.537,96.935
austin,moderate,greedy_ev_quantile,local/calendar_weather/lgbm_quantile,6987212.0,74.55,97.363
austin,moderate,proportional,local/internal/naive_trailing7,8569370.0,68.787,89.837
austin,moderate,greedy_ev_point,local/internal/naive_trailing7,8973520.0,67.315,87.914
austin,moderate,proportional,local/internal/seasonal_naive7,8556570.0,68.834,89.898
austin,moderate,greedy_ev_point,local/internal/seasonal_naive7,7383070.0,73.108,95.48
austin,moderate,proportional,local/internal/ridge,8570724.0,68.782,89.83
austin,moderate,greedy_ev_point,local/internal/ridge,7237756.0,73.637,96.171
austin,moderate,proportional,local/internal/random_forest,8558420.0,68.827,89.889
austin,moderate,greedy_ev_point,local/internal/random_forest,7281066.0,73.48,95.965
