STATION,DATE,ACMC,ACMH,ACSC,ACSH,ADPT,ASLP,ASTP,AWBT,AWDR,AWND,DAEV,DAPR,DASF,DATN,DATX,DAWM,DWPR,EVAP,FMTM,FRGB,FRGT,FRTH,GAHT,MDEV,MDPR,MDSF,MDTN,MDTX,MDWM,MNPN,MXPN,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SN01,SN02,SN03,SN11,SN12,SN13,SN14,SN21,SN22,SN23,SN31,SN32,SN33,SN34,SN35,SN36,SN51,SN52,SN53,SN54,SN55,SN56,SN57,SN61,SN72,SN81,SN82,SN83,SNOW,SNWD,SX01,SX02,SX03,SX11,SX12,SX13,SX14,SX15,SX17,SX21,SX22,SX23,SX31,SX32,SX33,SX34,SX35,SX36,SX51,SX52,SX53,SX54,SX55,SX56,SX57,SX61,SX72,SX81,SX82,SX83,TAVG,TAXN,THIC,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFI,WDFM,WDMV,WESD,WESF,WSF1,WSF2,WSF5,WSFG,WSFI,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT12,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03,WV07,WV18,WV20,alt,station_info,station_name,time
USW00094728,1/1/2022,,,,,10.6,1007.8,1002.7,11.1,,1.4,,,,,,,,,,,,,,,,,,,,,,,20.1,,94,86,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,10,,,,60,60,,,,,,,,4.5,6.7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,1/2/2022,,,,,7.2,1005.4,999.3,8.3,,2.6,,,,,,,,,,,,,,,,,,,,,,,1,,83,65,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2.8,,,,300,300,,,,,,,,8.1,13.4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,1/3/2022,,,,,-11.1,1019.6,1014.6,-4.4,,4.4,,,,,,,,,,,,,,,,,,,,,,,0,,50,34,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,-5.5,,,,350,360,,,,,,,,8.1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,1/4/2022,,,,,-12.2,1027.8,1023,-5.6,,2.7,,,,,,,,,,,,,,,,,,,,,,,0,,49,40,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,-7.1,,,,300,290,,,,,,,,6.3,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,1/5/2022,,,,,0.6,1013.2,1008.8,2.8,,2.5,,,,,,,,,,,,,,,,,,,,,,,5.8,,80,47,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,-0.5,,,,220,240,,,,,,,,6.7,10.3,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,1/6/2022,,,,,-7.2,1011.5,1006.4,-0.6,,2.9,,,,,,,,,,,,,,,,,,,,,,,0,,49,36,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.1,,,,280,270,,,,,,,,7.6,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,1/7/2022,,,,,-7.2,1012.5,1005.8,-3.3,,3.9,,,,,,,,,,,,,,,,,,,,,,,9.7,,67,45,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,-3.8,,,,30,270,,,,,,,,8.1,13,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
USW00094728,1/8/2022,,,,,-13.9,1033.2,1027.8,-6.1,,2.7,,,,,,,,,,,,,,,,,,,,,,,0,,44,33,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-6.6,,,,310,330,,,,,,,,7.2,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,1/9/2022,,,,,-2.8,1022,1015.9,0.6,,3.8,,,,,,,,,,,,,,,,,,,,,,,2.5,,72,43,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,-1.6,,,,240,220,,,,,,,,7.2,10.7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,1/10/2022,,,,,-11.7,1019.3,1014.2,-4.4,,3.8,,,,,,,,,,,,,,,,,,,,,,,0,,45,34,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,-4.3,,,,300,300,,,,,,,,10.3,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,1/11/2022,,,,,-18.3,1031.5,1024.7,-10,,3.3,,,,,,,,,,,,,,,,,,,,,,,0,,39,32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3,-9.3,,,,300,300,,,,,,,,8.1,13,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,1/12/2022,,,,,-10,1022,1016.9,-3.3,,2.7,,,,,,,,,,,,,,,,,,,,,,,0,,48,43,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,-6.6,,,,210,200,,,,,,,,7.6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,1/13/2022,,,,,-2.8,1014.6,1010.2,1.7,,1.4,,,,,,,,,,,,,,,,,,,,,,,0,,60,41,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,1.1,,,,60,70,,,,,,,,3.6,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
