STATION,DATE,PRCP,TMAX,TMIN,TAVG,SNOW,SNWD,AWND
USW00094728,1/1/2022,20.1,13.3,10.0,,0,0,1.4
USW00094728,1/2/2022,1.0,15.0,2.8,,0,0,2.6
USW00094728,1/3/2022,0.0,2.8,-5.5,,0,0,4.4
USW00094728,1/4/2022,0.0,1.1,-7.1,,0,0,2.7
USW00094728,1/5/2022,5.8,8.3,-0.5,,0,0,2.5
USW00094728,1/6/2022,0.0,5.0,1.1,,0,0,2.9
USW00094728,1/7/2022,9.7,1.1,-3.8,,147,150,3.9
USW00094728,1/8/2022,0.0,-1.0,-6.6,,0,80,2.7
USW00094728,1/9/2022,2.5,4.4,-1.6,,0,80,3.8
USW00094728,1/10/2022,0.0,4.4,-4.3,,0,0,3.8
USW00094728,1/11/2022,0.0,-4.3,-9.3,,0,0,3.3
USW00094728,1/12/2022,0.0,4.4,-6.6,,0,0,2.7
USW00094728,1/13/2022,0.0,8.9,1.1,,0,0,1.4
USW00094728,1/14/2022,0.0,6.1,-6.0,,0,0,3.7
USW00094728,1/15/2022,0.0,-6.0,-12.1,,0,0,3.2
USW00094728,1/16/2022,9.4,2.8,-12.1,,20,0,3.8
USW00094728,1/17/2022,29.5,6.7,1.1,,0,0,4.5
USW00094728,1/18/2022,0.0,2.2,-1.6,,0,0,4.1
USW00094728,1/19/2022,0.0,9.4,-2.1,,0,0,3.0
USW00094728,1/20/2022,7.6,7.8,-5.5,,0,0,3.0
USW00094728,1/21/2022,0.0,-5.5,-9.9,,0,0,3.5
USW00094728,1/22/2022,0.0,-1.6,-10.5,,0,0,2.5
USW00094728,1/23/2022,0.5,2.8,-4.3,,5,0,2.4
USW00094728,1/24/2022,0.0,2.2,-3.2,,0,0,1.9
USW00094728,1/25/2022,0.0,5.6,-2.1,,0,0,2.6
USW00094728,1/26/2022,0.0,-2.1,-6.6,,0,0,2.8
USW00094728,1/27/2022,0.0,0.0,-8.2,,0,0,2.4
USW00094728,1/28/2022,3.3,0.0,-1.6,,30,0,2.1
USW00094728,1/29/2022,19.6,-1.6,-11.0,,185,150,5.6
USW00094728,1/30/2022,0.0,-3.2,-11.0,,0,180,3.1
USW00094728,1/31/2022,0.0,-0.5,-6.0,,0,150,1.7
USW00094728,2/1/2022,0.0,2.2,-4.9,,0,150,2.3
USW00094728,2/2/2022,0.0,8.3,0.0,,0,100,1.3
USW00094728,2/3/2022,10.7,11.1,5.6,,0,50,1.7
USW00094728,2/4/2022,18.3,13.9,-3.2,,0,0,3.0
USW00094728,2/5/2022,0.0,-2.7,-7.1,,0,0,3.9
USW00094728,2/6/2022,0.0,-1.0,-8.2,,0,0,2.1
USW00094728,2/7/2022,3.8,2.8,-1.0,,0,0,1.6
USW00094728,2/8/2022,1.8,7.2,0.0,,0,0,3.0
USW00094728,2/9/2022,0.0,7.8,-1.6,,0,0,1.8
USW00094728,2/10/2022,0.0,12.2,2.8,,0,0,2.3
USW00094728,2/11/2022,0.0,13.9,3.3,,0,0,2.3
USW00094728,2/12/2022,0.0,15.0,5.6,,0,0,3.4
USW00094728,2/13/2022,5.8,5.6,-3.8,,41,30,3.0
USW00094728,2/14/2022,0.0,-3.8,-8.8,,0,30,3.9
USW00094728,2/15/2022,0.0,-1.0,-8.8,,0,0,2.2
USW00094728,2/16/2022,0.0,9.4,-2.1,,0,0,2.6
USW00094728,2/17/2022,7.9,20.0,9.4,,0,0,3.3
USW00094728,2/18/2022,8.4,17.2,-2.7,,0,0,4.3
USW00094728,2/19/2022,0.0,4.4,-4.9,,0,0,3.7
USW00094728,2/20/2022,0.0,2.2,-6.0,,0,0,3.4
USW00094728,2/21/2022,0.0,12.8,0.0,,0,0,2.0
USW00094728,2/22/2022,6.6,16.1,2.8,,0,0,2.7
USW00094728,2/23/2022,0.0,20.0,1.7,,0,0,3.7
USW00094728,2/24/2022,0.0,1.7,-1.6,,0,0,3.4
USW00094728,2/25/2022,18.8,5.0,-3.2,,10,0,3.7
USW00094728,2/26/2022,0.0,2.8,-4.3,,0,0,3.2
USW00094728,2/27/2022,0.0,8.9,-2.1,,0,0,4.3
