model,feature_set,val_mae,val_rmse,val_mape,val_r2,test_mae,test_rmse,test_mape,test_r2
naive_seasonal,naive_seasonal,55.86307319223987,103.9394764941238,35.87555742070907,0.7979764221905146,71.8479842243646,197.74274555734885,34.68864594805003,0.5627694055654104
ridge,internal_historical,55.81584955632933,102.03855964359322,38.56224123912953,0.80529834323726,69.21907461685605,187.75310755923994,36.07253231675907,0.6058298873791476
random_forest,internal_historical,51.431453927663895,97.45783641980839,34.857689387476434,0.8223870860660785,65.28227012754172,184.7865417777576,34.258985455314466,0.6181875378726878
gradient_boosting,internal_historical,53.73579056817732,99.28853116324046,40.446342472808546,0.8156516818346419,67.49294459491972,187.7338970757667,38.378406395012625,0.6059105444840793
ridge,calendar_augmented,55.13734132498092,101.82459320889318,38.09407877289966,0.8061140337190157,68.7575991210879,187.75749371130007,35.72932966350574,0.6058114705308884
random_forest,calendar_augmented,41.892429185651004,84.77253091979718,28.159721141485416,0.865614841858753,58.0816173951746,181.13527305954693,29.025891372002544,0.6331272256494329
gradient_boosting,calendar_augmented,47.59785230070436,91.27293807981908,35.08036391007617,0.8442152042070695,61.709984228236976,183.88632208501164,34.15223311404912,0.6218986075229348
ridge,weather_augmented,55.90592724339424,101.97646540631503,39.05348661135935,0.805535237453623,69.28327406807203,187.78376681955214,36.00933737361105,0.6057011443617017
random_forest,weather_augmented,51.24214855332766,97.52421750553239,34.66967064580132,0.822145050047534,64.1039024813339,181.3793674474586,33.61383366249663,0.6321377781191491
gradient_boosting,weather_augmented,54.19444727175729,100.67930595435675,40.40760892232996,0.8104510277600561,67.55301199398184,188.0456334824557,38.23634229351634,0.6046006688357533
ridge,calendar_weather_augmented,55.311755657118006,101.76075903620197,39.19625186855401,0.8063570530214066,68.91542192337037,187.76236645173708,36.139734299066305,0.6057910100605903
random_forest,calendar_weather_augmented,41.545089003198996,85.50426441934789,27.932191617090396,0.8632848767693256,56.223622564178,178.14965482084668,28.17263465059331,0.6451217408067791
gradient_boosting,calendar_weather_augmented,48.717115554021476,93.80236717075766,35.64992267516573,0.835461094370562,61.8782360719382,181.77820815293973,33.8223831020927,0.630518192142989
